"Spring 2010
Agriculture              AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture  ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education       CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CSCE CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal",Undergraduate,,,,Masters,,,,PhD,,,Professional,Total,
,"1st Time in College
1
2
1
1
1
6
2
1
2
5
8
8
2
2
4
2
2
2
9
1
4
3
23","1st Time Transfer
71
33
20
7
5
9
2
20
7
14
5
14
26
17
10
260
1
19
4
2
26
1
1
7
29
38
74
5
5
4
16
5
21
30
17
13
3
4
123","Readmit ted
2
16
2
2
2
7
5
2
7
5
2
7
3
3
65
2
2
3
4
2
5
14
17
11
5
33
2
1
5
7
9
1
3
4
32","Continuing
582
833
642
270
255
83
113
180
146
527
177
138
237
116
318
4,617
373
51
559
203
122
1,308
655
1,749
634
297
330
471
4,136
5
322
252
1,849
1,260
3,688
554
356
751
7
523
1,014
662
861
555
1,049
279
592
7,203",1st Time PB,1st Time Graduate,Readmit ted,Continuing,1st Time Graduate,Readmit ted,Continuing,Continuing,,
,,,,,1,13,1,89,2,2,67,,829,
,,,,,2,16,,72,3,,53,,"1,028",
,,,,,2,13,,77,4,,28,,790,
,,,,,,4,,44,2,,23,,352,
,,,,,,,,48,1,,82,,394,
,,,,,1,,,,,,,,100,
,,,,,,1,,22,,,27,,166,
,,,,,3,6,,42,,,30,,286,
,,,,,,4,,18,,,18,,195,
,,,,,1,5,,41,3,,19,,617,
,,,,,,1,,10,,,21,,219,
,,,,,,,,28,,,9,,192,
,,,,,1,5,,21,,,28,,325,
,,,,,,11,,45,3,,54,,249,
,,,,,1,4,,79,1,,59,,475,
,,,,,12,83,1,636,19,,518,,"6,217",
,,,,,2,,,108,2,,39,,527,
,,,,,,,,,,,,,51,
,,,,,,,,80,,,,,661,
,,,,,1,7,1,110,,,49,,375,
,,,,,,,,66,,,,,192,
,,,,,3,7,1,364,2,,88,,"1,806",
,,,,,,26,,105,,,15,,801,
,,,,,,,,159,,,,,"1,920",
,,,,,,24,,161,,,15,,838,
,,,,,,8,,119,,,5,,429,
,,,,,,2,,45,,,17,,396,
,,,,,,1,,40,,,11,,528,
,,,,,,61,,629,,,63,,"4,912",
,,,,,,,,,,,,,5,
,,,,,4,20,2,140,1,,277,,792,
,,,,,,13,1,107,3,,171,,547,
,,,,,,11,,73,2,,64,,"2,041",
,,,,,7,49,,168,10,1,207,,"1,747",
,,,,,11,93,3,488,16,3,719,,"5,132",
,,,,,,7,1,64,,,59,,692,
,,,,,1,2,,40,1,,35,,444,
,,,,,,6,,65,2,,105,,934,
,,,,,,,,,,,8,,15,
,,,,,,12,1,160,4,,119,,842,
,,,,,1,33,,228,13,,122,,"1,432",
,,,,,2,15,,254,4,,225,,"1,183",
,,,,,,,,17,,,,,917,
,,,,,,9,,188,1,,58,,830,
,,,,,3,12,1,234,9,,173,,"1,498",
,,,,,,11,,64,3,,38,,404,
,,,,,,20,,190,5,,75,,890,
,,,,,7,127,3,"1,504",42,,"1,017",,"10,081",
,,,,,44,7,1,264,,,,,316,
,,,,,44,7,1,264,,,,,316,
"Prepared by OISP, 05 May 10",,,,,,,,,,,,,,
