Spring 2010,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Agriculture,AGBL,133,-20.8%,42,7.7%,69,1.5%,,,133,-20.8%,
,AGBU,151,24.8%,,,,,,,193,20.6%,
,AGCJ,149,23.1%,,,,,,,149,23.1%,
,AGEC,372,7.5%,62,26.5%,,,,,503,8.6%,
,AGED,,,40,-33.3%,50,16.3%,,,90,-12.6%,
,AGEN,0,-100.0%,,,,,,,0,-100.0%,
,AGLS,81,-49.4%,,,,,,,81,-49.4%,
,AGRO,130,18.2%,16,-15.8%,14,16.7%,,,160,13.5%,
,AGSC,122,8.9%,,,,,,,122,8.9%,
,AGSM,149,8.0%,3,50.0%,,,,,152,8.6%,
,ALEC,,,17,100.0%,6,100.0%,,,23,100.0%,
,ALED,474,-23.2%,33,22.2%,,,,,507,-21.3%,
,ANBR,,,8,60.0%,1,100.0%,,,9,80.0%,
,ANSC,662,-6.2%,65,4.8%,12,33.3%,,,739,-4.9%,
,BAEN,130,38.3%,43,10.3%,24,33.3%,,,197,30.5%,
,BESC,185,13.5%,,,,,,,185,13.5%,
,BICH,164,0.6%,40,33.3%,64,-1.5%,,,268,3.9%,
,BIOT,,,19,-40.6%,,,,,19,-40.6%,
,BSEN,0,-100.0%,,,,,,,0,-100.0%,
,CDEV,17,88.9%,,,,,,,17,88.9%,
,DASC,4,-20.0%,0,-100.0%,,,,,4,-33.3%,
,ECOR,16,77.8%,,,,,,,16,77.8%,
,ENST,13,44.4%,,,,,,,13,44.4%,
,ENTO,53,-39.1%,20,-20.0%,26,8.3%,,,99,-27.2%,
,FISC,,,4,33.3%,,,,,4,33.3%,
,FIVL,55,27.9%,,,,,,,55,27.9%,
,FIVS,8,100.0%,,,,,,,8,100.0%,
,FLOR,4,33.3%,1,0.0%,,,,,5,25.0%,
,FORS,26,13.0%,11,120.0%,6,20.0%,,,43,30.3%,
,FSTC,97,5.4%,23,-25.8%,12,20.0%,,,132,-0.8%,
,GENE,99,2.1%,10,-9.1%,25,25.0%,,,134,4.7%,
,HORT,151,-2.6%,17,54.5%,14,-12.5%,,,182,0.0%,
,MEPS,,,4,-42.9%,16,0.0%,,,20,-13.0%,
,NRDV,,,18,28.6%,,,,,18,28.6%,
,NUSC,451,-11.7%,,,,,,,451,-11.7%,
,NUTR,,,32,39.1%,18,12.5%,,,50,28.2%,
,PLBR,,,23,43.8%,18,20.0%,,,41,32.3%,
,PLPA,,,10,-33.3%,19,58.3%,,,29,7.4%,
,POSC,155,13.1%,12,-25.0%,8,-38.5%,,,175,5.4%,
,PPRO,,,2,100.0%,,,,,2,100.0%,
,PREP,,,13,-7.1%,10,-9.1%,,,23,-8.0%,
,PSSC,6,20.0%,,,,,,,6,20.0%,
,RENR,52,33.3%,,,,,,,52,33.3%,
"Prepared by OISP, 05 May 10",,,,,,,,,,,,
