Texas A&M University,,,,,,,,,,
Office of Institutional Studies and Planning,,,,,,,,,,
Demographic Summary by Entry Status,,,,,,,,,,
Spring 2010,,,,,,,,,,
Enrollment Profile – Spring 2010,,,,,,,,,,
Official Certified 12th Class Day Data,,,,,,,,,,
"Spring 2010
Head Count       Total
Gender              Female Male
Ethnicity           White Black Hispanic Asian
American Indian International Unknown/Other
TAMU Age       <18
Categories         18-21
22-25
26-30
31-39
40+
College              Agriculture Architecture Business Admin Education Engineering
G. Bush School of Govt Geosciences
Liberal Arts Science
Veterinary Medicine General Studies
Other - Special Populations
Student              Lower
Level                 Upper Masters PhD Professional
Tuition              Resident Tuition
Status                Non-Resident Tuition Tuition Exemption/Waiver
Residency         Texas Resident
Status                Non-TX, US Resident
Non-TX, Non-US Resident
SCH                  < 6 SCH
Categories         6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:                 Less Than Half Time
TAMU              Half-Time
Status                Three-Quarter Time Full-Time",Undergraduate,,,,Graduate,,,,Professional,
,"1st Time in College
90
41
49
54
5
14
2
2
9
4
88
1
1
6
5
8
4
23
1
17
7
10
9
90
70
15
5
77
3
10
2
3
69
16
2
3
85","1st Time Transfer
797
336
461
553
11
95
42
5
23
68
495
219
56
21
6
260
26
1
74
123
11
191
30
1
80
498
299
743
28
26
757
18
22
8
23
40
521
204
1
8
23
40
726","Readmitted
253
88
165
198
14
29
10
2
53
151
42
6
1
65
2
14
33
32
6
51
10
1
39
56
197
238
6
9
246
5
2
12
23
31
126
55
6
12
23
31
187","Continuing
35,247
17,009
18,238
26,266
1,136
5,121
1,827
212
580
105
2
20,876
13,522
576
187
84
4,617
1,308
4,136
3,688
7,203
590
5,780
2,107
1,529
4,231
58
13,508
21,739
33,030
819
1,398
33,528
1,127
592
1,075
1,266
1,700
17,828
12,469
909
982
891
1,611
31,763",1st Time PB,1st Time Graduate,Readmitted,Continuing,Continuing,
,,,,,107,522,18,"8,319",507,
,,,,,44,218,7,"3,404",382,
,,,,,63,304,11,"4,915",125,
,,,,,58,287,13,"3,665",433,
,,,,,8,15,,343,3,
,,,,,9,38,2,626,51,
,,,,,5,15,,250,14,
,,,,,,4,,31,2,
,,,,,16,146,3,"3,317",,
,,,,,11,17,,87,4,
,,,,,1,5,,2,,
,,,,,27,265,,"2,584",261,
,,,,,35,147,6,"3,095",209,
,,,,,14,65,6,"1,880",31,
,,,,,30,40,6,758,6,
,,,,,12,102,1,"1,154",,
,,,,,3,9,1,452,,
,,,,,,61,,692,,
,,,,,11,109,6,"1,207",,
,,,,,7,169,3,"2,521",,
,,,,,44,7,1,264,,
,,,,,4,26,2,305,,
,,,,,3,4,2,762,,
,,,,,11,26,2,783,,
,,,,,1,9,,145,507,
,,,,,11,,,34,,
,,,,,107,425,13,"4,833",,
,,,,,,97,5,"3,486",,
,,,,,,,,,507,
,,,,,78,322,13,"3,647",469,
,,,,,7,73,3,921,7,
,,,,,22,127,2,"3,751",31,
,,,,,91,329,14,"3,762",475,
,,,,,,47,1,"1,228",32,
,,,,,16,146,3,"3,329",,
,,,,,56,55,14,"1,277",,
,,,,,30,52,2,820,,
,,,,,16,332,2,"5,411",,
,,,,,4,71,,638,,
,,,,,1,12,,100,,
,,,,,,,,73,507,
,,,,,50,34,13,930,,
,,,,,36,72,3,"1,002",,
,,,,,21,416,2,"6,387",507,
"Prepared by OISP, 05 May 10",,,,,,,,,,
