Spring 2010,,Undergraduate,,,,Masters,,,,PhD,,,Professional,Total,
,,1st Time in College,1st Time Transfer,Readmitte d,Continuing,1st Time PB,1st Time Graduate,Readmitte d,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,,
"Engineering            AERL
AERO BMEL BMEN CECL CECN CEEL CEEN CHEL CHEN CPSC CPSL CVEL CVEN ELEL ELEN ENGR ENSM ENTC ENTL HLPH IDIL IDIS INEL INEN ITDE MEEL MEEN MSEN NUEL NUEN OCEL OCEN PETE PETL RHEL RHEN SENG USEN",,"2
2
1
1
9
1
4
3","5
2
3
7
3
4
9
3
1
18
11
19
17
13
3
1
4","2
1
1
1
3
1
2
2
2
5
1
2
3
1
1
3
1","229
325
181
175
110
126
56
55
223
528
135
152
238
593
244
307
184
186
126
365
149
406
309
740
77
150
46
137
309
283
19
33
7","1
2
3
1","7
2
4
2
3
8
28
13
2
2
7
12
2
9
5
20
1","1
1
1","63
40
51
55
38
109
200
199
15
14
17
173
232
26
50
28
190
4","1
3
1
1
12
4
1
9
1
3
1
5",,"55
34
32
27
80
87
108
198
4
58
4
168
35
38
14
75",,"236
451
187
256
119
216
59
139
228
650
342
165
251
944
262
723
4
17
186
199
16
150
382
168
645
4
326
1,165
64
85
250
50
187
600
290
20
33
5
7",
,Subtotal,23,123,32,"7,203",7,127,3,"1,504",42,,"1,017",,"10,081",
G. Bush School,CAIA,,,,,24,2,1,40,,,,,64,
of Govt,CHLS,,,,,8,,,17,,,,,25,
,CNPM,,,,,12,,,13,,,,,26,
,INTA,,,,,,,,103,,,,,105,
,PSAA,,,,,,5,,91,,,,,96,
,Subtotal,,,,,44,7,1,264,,,,,316,
"Prepared by OISP, 05 May 10",,,,,,,,,,,,,,,
