Spring 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
"Other - Special        CHEN
Populations             CLMD ECEN GACD MARA MARB MARS MEEN PETE SABX SRPH",,3,"1
10","1
2
1
2
20","1
13",,"1
3
1
3
46","1
10
8",1,"1
1
10
8",,,,,"1
1
3
1
1
3
56
8",
University,Subtotal,3,11,26,14,,54,19,1,20,,,,,74,
,Total,68,114,166,262,4,614,34,"1,845","1,879","1,603","1,603",,,"4,096",
"Prepared by OISP, 05 May 10",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
