Spring 2010,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Geosciences,ATMO,9,15,1,3,9,6,3,4,7,1,7,18,1,1,17,34,51,
,ENGS,34,39,,,,,,,,,,1,,1,43,52,95,
,ENST,32,32,,,4,10,,,,,,1,,,40,46,86,
,GEOG,39,68,1,1,3,5,1,3,,,7,12,,1,51,90,141,
,GEOL,61,124,2,2,8,12,,4,,,14,18,,,85,160,245,
,GEOP,6,25,2,,1,3,1,3,,1,11,18,,,21,50,71,
,GEOS,2,,,,,,,,,,,1,1,,3,1,4,
,MARB,1,,,,,,,,,,,,,,1,,1,
,METR,42,56,1,3,7,13,,,,2,,,,,50,74,124,
,OCNG,26,20,,,,2,,3,,,15,17,,,41,42,83,
,SPSG,,4,,,1,,,,,,,1,,,1,5,6,
,USGE,2,3,,,1,1,,,,,,,,,3,4,7,
,WMHS,4,13,1,,,1,,1,,,6,4,,1,11,20,31,
,Subtotal,258,399,8,9,34,53,5,18,,4,60,91,2,4,367,578,945,
Liberal Arts,AMST,4,3,1,,1,,,,,,,,,,6,3,9,
,ANTH,132,81,1,1,20,3,3,5,,,5,7,1,2,162,99,261,
,CLSS,9,4,,,,3,,,,,,,,,9,7,16,
,COMM,557,142,22,11,77,23,10,2,,,8,6,4,,685,184,869,
,ECON,55,284,1,5,12,37,10,26,,1,45,65,2,2,125,420,545,
,ENGL,437,125,14,5,71,28,18,7,3,4,19,11,,1,562,181,743,
,FREN,7,1,1,,1,,3,,,,,,1,,13,1,14,
,GERM,1,1,,,,,,,1,,,1,,,2,2,4,
,HISP,8,4,,,7,4,,,,,,6,,,15,14,29,
,HIST,209,407,4,17,26,60,4,4,3,3,2,2,1,5,249,498,747,
,INTS,266,152,8,7,78,41,19,7,6,1,4,3,4,1,385,212,597,
,MODL,2,,,,3,2,,,,,,,,,5,2,7,
,MUSC,8,8,2,2,3,6,1,,,,,,,,14,16,30,
,NUTR,2,,,,,,,,,,,,,,2,,2,
,PHIL,19,62,2,1,3,12,1,2,,1,,1,1,2,26,81,107,
,POLS,227,373,32,13,43,67,14,18,6,2,6,4,1,5,329,482,811,
,PSYC,654,232,48,9,168,59,47,22,8,3,7,5,8,3,940,333,1273,
,RUSS,5,2,,,,1,,,,,,,,,5,3,8,
,SOCI,188,70,40,16,71,32,16,6,2,3,9,3,2,2,328,132,460,
,SPAN,42,13,1,,21,15,,,,,,,,,64,28,92,
,TCMS,44,46,5,3,5,6,3,6,,,,1,,,57,62,119,
,THAR,26,10,1,,9,6,2,,,,,1,,,38,17,55,
,USLA,2,,,3,,,,,,,,,,,2,3,5,
,WGST,3,,,,4,,,,,,,,,,7,,7,
,Subtotal,"2,907","2,020",183,93,623,405,151,105,36,18,105,116,25,23,"4,030","2,780",6810,
"Prepared by OISP, 05 May 10",,,,,,,,,,,,,,,,,,,
