Spring 2010,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Other - Special        CHEN
Populations             CLMD ECEN GACD MARA MARB MARS MEEN PETE SABX SRPH",,"7
1
1
2
1
6","133.3%
100.0%
0.0%
100.0%
0.0%
0.0%",0,-100.0%,"1
1
5","100.0%
0.0%
400.0%","2
0","100.0%
-100.0%",,,"1
1
3
1
1
3
56
8","100.0%
-75.0%
100.0%
100.0%
100.0%
100.0%
33.3%
700.0%","0
1
1","-100.0%
0.0%
0.0%","1
10
3
1
1
3
2
1
3
58
20","100.0%
25.0%
100.0%
100.0%
100.0%
50.0%
100.0%
100.0%
100.0%
31.8%
81.8%",
,Subtotal,18,50.0%,0,-100.0%,7,250.0%,2,100.0%,,,74,57.4%,2,-33.3%,103,56.1%,
Total,,"31,527",-0.2%,"1,535",6.2%,"5,985",7.9%,"2,165",14.7%,256,4.5%,"4,096",7.5%,296,62.6%,"45,860",2.5%,
"Prepared by OISP, 05 May 10",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
