Texas A&M University,,,,,
Office of Institutional Studies and Planning,,,,,
Demographic Summary by Classification,,,,,
First-Time In College Students Top 10% Texas High School Students,,,,,
Spring 2010,,,,,
Enrollment Profile – Spring 2010,,,,,
Official Certified 12th Class Day Data,,,,,
Spring 2010                            Freshman      Sophomore       Grand Total,,,,,
Headcount Total,,30,2,32,
Gender,Female,16,1,17,
,Male,14,1,15,
Ethnicity,White,18,2,20,
,Black,1,,1,
,Hispanic,8,,8,
,Asian,1,,1,
,American Indian,1,,1,
,Unknown/Other,1,,1,
TAMU Age Categories,18-21,30,2,32,
College,Agriculture,1,,1,
,Architecture,2,1,3,
,Business Admin,2,,2,
,Education,2,1,3,
,Engineering,9,,9,
,Geosciences,1,,1,
,Liberal Arts,4,,4,
,Science,2,,2,
,Veterinary Medicine,6,,6,
,General Studies,1,,1,
Enrollment Status,1st Time in College,30,2,32,
Tuition Status,Resident Tuition,28,2,30,
,Tuition  Exemption/Waiver,2,,2,
Residency Status,Texas Resident,30,2,32,
SCH Categories,9-11 SCH,,1,1,
,12-14 SCH,22,1,23,
,15-17 SCH,8,,8,
Ft/Pt: TAMU Status,Three-Quarter Time,,1,1,
,Full-Time,30,1,31,
"Prepared by OISP, 05 May 10",,,,,
