Top 10,,,,,,,,,
Spring 2010  Feeder Patterns Texas A&M University Campus,,,,,,,,,
Country,,,Students  % Total,,,,,,
United States,,,41735,,,,91.0%,,
India,,,951,,,,2.1%,,
"China, People's Rep of",,,903,,,,2.0%,,
"Korea, Republic of",,,491,,,,1.1%,,
Taiwan,,,226,,,,0.5%,,
Mexico,,,124,,,,0.3%,,
Iran,,,102,,,,0.2%,,
Turkey,,,96,,,,0.2%,,
Saudi Arabia,,,64,,,,0.1%,,
Colombia,,,56,,,,0.1%,,
Texas County   Students  % Total,,,,,,,,,
Harris,,7528,,,16.4%,,,,
Brazos,,2722,,,5.9%,,,,
Tarrant,,2277,,,5.0%,,,,
Dallas,,2277,,,5.0%,,,,
Bexar,,2237,,,4.9%,,,,
Fort Bend,,1947,,,4.2%,,,,
Collin,,1397,,,3.0%,,,,
Montgomery,,1390,,,3.0%,,,,
Travis,,1350,,,2.9%,,,,
Denton,,909,,,2.0%,,,,
State,Students  % Total,,,,,,,,
Texas,39279,,,85.6%,,,,,
California,235,,,0.5%,,,,,
Louisiana,171,,,0.4%,,,,,
Florida,111,,,0.2%,,,,,
Illinois,107,,,0.2%,,,,,
Colorado,103,,,0.2%,,,,,
Virginia,99,,,0.2%,,,,,
Oklahoma,94,,,0.2%,,,,,
New Mexico,86,,,0.2%,,,,,
New York,82,,,0.2%,,,,,
