"Spring 2010
Architecture       ARCH COMG COSC COSL ENDL ENDS LAND LANL LDEV URPL URSC USAR VISL VIST VIZA
Subtotal
Business             ACCT
Admin                AGBU BHNR BUAD BUAG EMBA FINC INFO MGMT MISY MKTG MLER USBU
Subtotal",White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,"Total
151
80
354
227
174
202
118
51
39
43
124
51
83
43
66
1806
801
4
128
1555
7
85
784
302
396
127
528
54
141
4912",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
,23,41,2,1,4,8,1,5,1,,33,31,1,,65,86,,
,2,8,,,,,,1,,,22,47,,,24,56,,
,30,270,,4,3,32,1,5,1,5,1,1,,1,36,318,,
,18,157,1,3,12,28,3,2,,1,,1,,1,34,193,,
,67,52,,3,20,22,3,3,,,1,,2,1,93,81,,
,84,66,2,1,13,22,2,3,2,,3,3,1,,107,95,,
,29,52,,1,2,11,4,1,,,14,4,,,49,69,,
,20,20,,,5,6,,,,,,,,,25,26,,
,3,14,,,,4,,,,,3,13,,2,6,33,,
,11,12,,1,,1,,,,1,11,6,,,22,21,,
,18,33,2,7,12,8,1,2,,,13,28,,,46,78,,
,10,25,2,,5,8,,,,,,1,,,17,34,,
,32,33,,2,6,7,1,1,,,,,1,,40,43,,
,9,25,,,2,4,1,,,,,2,,,12,31,,
,12,28,,,1,5,1,5,,,5,8,,1,19,47,,
,368,836,9,23,85,166,18,28,4,7,106,145,5,6,595,"1,211",,
,337,295,17,4,32,30,23,31,5,2,13,8,1,3,428,373,,
,,4,,,,,,,,,,,,,,4,,
,58,54,3,,,5,3,4,,,,,,1,64,64,,
,641,566,32,17,113,79,29,35,2,2,9,17,2,11,828,727,,
,4,3,,,,,,,,,,,,,4,3,,
,9,45,2,5,1,6,2,5,,,1,5,,4,15,70,,
,239,385,5,4,29,43,23,29,2,6,5,11,2,1,305,479,,
,75,138,6,4,21,23,12,16,,,1,5,1,,116,186,,
,148,145,10,9,39,13,8,2,1,1,7,9,2,2,215,181,,
,22,25,2,,1,1,,2,,,22,52,,,47,80,,
,324,103,6,2,45,14,11,5,3,,9,4,1,1,399,129,,
,15,35,,,,1,,,1,,,1,1,,17,37,,
,46,72,1,2,8,4,3,2,,,1,2,,,59,82,,
,"1,918","1,870",84,47,289,219,114,131,14,11,68,114,10,23,"2,497","2,415",,
"Prepared by OISP, 05 May 10",,,,,,,,,,,,,,,,,,
