Top 10,,,,,,,,
Spring 2010  Feeder Patterns New Graduate,,,,,,,,
Texas County   Students  % Total,,,,,,,,
Harris,,66,,,12.6%,,,
Brazos,,35,,,6.7%,,,
Tarrant,,18,,,3.4%,,,
Dallas,,16,,,3.1%,,,
Bexar,,15,,,2.9%,,,
Fort Bend,,14,,,2.7%,,,
Travis,,14,,,2.7%,,,
Montgomery,,10,,,1.9%,,,
Collin,,9,,,1.7%,,,
Williamson,,9,,,1.7%,,,
State,Students  % Total,,,,,,,
Texas,329,,,63.0%,,,,
California,5,,,1.0%,,,,
Florida,4,,,0.8%,,,,
Georgia,3,,,0.6%,,,,
Michigan,3,,,0.6%,,,,
Missouri,3,,,0.6%,,,,
New Jersey,3,,,0.6%,,,,
Illinois,2,,,0.4%,,,,
Kansas,2,,,0.4%,,,,
New Mexico,2,,,0.4%,,,,
Country,,,Students  % Total,,,,,
United States,,,376,,,72.0%,,
India,,,27,,,5.2%,,
"China, People's Rep of",,,25,,,4.8%,,
"Korea, Republic of",,,16,,,3.1%,,
Turkey,,,8,,,1.5%,,
Iran,,,7,,,1.3%,,
Taiwan,,,6,,,1.1%,,
Ecuador,,,5,,,1.0%,,
Colombia,,,3,,,0.6%,,
Brazil,,,3,,,0.6%,,
