"Spring 2010
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies       GEST
Subtotal
Other - Special         CHEN
Populations              CLMD ECEN GACD MARA MARB MARS MEEN PETE SABX SRPH
Subtotal
Total",White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,"Total
175
102
260
324
84
945
261
618
988
545
743
42
128
747
107
811
85
1,273
462
6,810
1,594
504
15
432
267
164
2,976
2,064
55
3
8
44
29
2,203
4,359
4,359
1
10
3
1
1
3
2
1
3
58
20
103
45,860",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
,51,71,1,3,7,13,,,,2,7,18,1,1,67,108,,
,36,42,,,10,7,,4,,1,,1,,1,46,56,,
,75,116,3,4,8,16,4,4,,,11,17,,2,101,159,,
,69,150,4,2,9,15,1,7,,1,27,38,1,,111,213,,
,27,20,,,,2,,3,,,15,17,,,42,42,,
,258,399,8,9,34,53,5,18,,4,60,91,2,4,367,578,,
,132,81,1,1,20,3,3,5,,,5,7,1,2,162,99,,
,275,155,9,10,83,41,19,7,6,1,4,3,4,1,400,218,,
,601,188,27,14,82,29,13,8,7,,8,7,4,,742,246,,
,55,284,1,5,12,37,10,26,,1,45,65,2,2,125,420,,
,437,125,14,5,71,28,18,7,3,4,19,11,,1,562,181,,
,22,8,1,,1,4,3,,1,,,1,1,,29,13,,
,52,17,1,,31,21,,,,,,6,,,84,44,,
,209,407,4,17,26,60,4,4,3,3,2,2,1,5,249,498,,
,19,62,2,1,3,12,1,2,,1,,1,1,2,26,81,,
,227,373,32,13,43,67,14,18,6,2,6,4,1,5,329,482,,
,34,18,3,2,12,12,3,,,,,1,,,52,33,,
,654,232,48,9,168,59,47,22,8,3,7,5,8,3,940,333,,
,190,70,40,16,71,32,16,6,2,3,9,3,2,2,330,132,,
,"2,907","2,020",183,93,623,405,151,105,36,18,105,116,25,23,"4,030","2,780",,
,528,411,33,19,187,111,124,116,6,4,33,17,5,,916,678,,
,116,149,8,9,20,26,11,19,2,2,46,95,,1,203,301,,
,3,10,,1,1,,,,,,,,,,4,11,,
,139,127,4,6,25,31,12,12,,1,25,45,3,2,208,224,,
,20,111,1,3,7,23,3,13,2,1,8,73,,2,41,226,,
,21,51,,2,2,2,5,6,,,37,33,3,2,68,96,,
,827,859,46,40,242,193,155,166,10,8,149,263,11,7,"1,440","1,536",,
,"1,066",428,35,10,230,112,91,67,6,4,4,2,7,2,"1,439",625,,
,19,8,,1,1,1,1,,,,11,12,,1,32,23,,
,3,,,,,,,,,,,,,,3,,,
,,1,,,,1,,,,,2,4,,,2,6,,
,19,6,2,,2,2,1,,,,6,6,,,30,14,,
,11,5,1,,,,,2,,,6,4,,,18,11,,
,"1,118",448,38,11,233,116,93,69,6,4,29,28,7,3,"1,524",679,,
,"1,412","1,646",107,120,352,395,89,148,15,17,11,32,4,11,"1,990","2,369",,
,"1,412","1,646",107,120,352,395,89,148,15,17,11,32,4,11,"1,990","2,369",,
,,,,,,,,,,,,1,,,,1,,
,6,1,,,,,2,,,,1,,,,9,1,,
,,,,,,,,,,,,3,,,,3,,
,1,,,,,,,,,,,,,,1,,,
,,,,,1,,,,,,,,,,1,,,
,,1,,,1,,,,,,1,,,,2,1,,
,,2,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,1,,,,1,,
,,,,,,,,,,,2,1,,,2,1,,
,,1,,,,,,,,,22,34,,1,22,36,,
,4,2,,,4,1,,,,,2,6,1,,11,9,,
,11,7,,,6,1,2,,,,28,46,1,1,48,55,,
,"15,206","16,321",827,708,"3,009","2,976",927,"1,238",129,127,"1,301","2,795",130,166,"21,529","24,331",,
"Prepared by OISP, 05 May 10",,,,,,,,,,,,,,,,,,
