Spring 2010,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Other -               CHEN
Special               ELEN
Populations        MARA
MARB MARM MAST MDSC MEEN PETE PHLT REEP",,"1
2
1
7
6
1","0.0%
100.0%
100.0%
133.3%
0.0%
0.0%",0,-100.0%,"1
1
5","100.0%
0.0%
400.0%","2
0","100.0%
-100.0%",,,"1
3
1
1
1
3
8
56","100.0%
100.0%
100.0%
-75.0%
100.0%
100.0%
700.0%
33.3%","0
1
1","-100.0%
0.0%
0.0%","1
3
1
3
2
1
10
1
3
20
58","100.0%
100.0%
100.0%
50.0%
100.0%
100.0%
25.0%
100.0%
100.0%
81.8%
31.8%",
,Subtotal,18,50.0%,0,-100.0%,7,250.0%,2,100.0%,,,74,57.4%,2,-33.3%,103,56.1%,
Total,,"31,527",-0.2%,"1,535",6.2%,"5,985",7.9%,"2,165",14.7%,256,4.5%,"4,096",7.5%,296,62.6%,"45,860",2.5%,
"Prepared by OISP, 05 May 10",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
