Spring 2010,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Other -              CHEN
Special              ELEN
Populations       MARA
MARB MARM MAST MDSC MEEN PETE PHLT REEP",,"1
3
1
0
1
1
3
48","100.0%
100.0%
100.0%
-100.0%
100.0%
100.0%
100.0%
17.1%","2
2
10
20
10","100.0%
100.0%
25.0%
81.8%
233.3%",1,100.0%,,,"1
3
1
3
2
1
10
1
3
20
58","100.0%
100.0%
100.0%
50.0%
100.0%
100.0%
25.0%
100.0%
100.0%
81.8%
31.8%",
,Subtotal,58,38.1%,44,83.3%,1,100.0%,,,103,56.1%,
Total,,"36,387",2.0%,"5,378",1.9%,"3,588",9.5%,507,1.2%,"45,860",2.5%,
"Prepared by OISP, 05 May 10",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
