Spring 2010,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
"Engineering        AERL
AERO BMEL BMEN CECL CECN CEEL CEEN CHEL CHEN CPSC CPSL CVEL CVEN ELEL ELEN ENGR ENSM ENTC ENTL HLPH IDIL IDIS INEL INEN ITDE MEEL MEEN MSEN NUEL NUEN OCEL OCEN PETE PETL RHEL RHEN SENG USEN",,"26
39
53
61
10
8
1
1
47
100
13
13
43
122
15
30
6
10
3
26
70
18
58
2
37
90
1
11
19
6
11
37
39
6
13
1","151
286
70
93
59
84
35
40
95
301
152
92
139
430
125
205
3
8
125
136
8
95
229
93
217
1
222
595
11
51
155
31
99
233
175
7
9
5","2
1
2
1
1
1
4
2
3
3
2
1
3
4
1
2
1
1
6
2
6
1
2
4
1
2
1
2
2
1
1","3
6
3
3
7
9
4
1
6
10
3
8
4
8
8
16
1
3
6
2
9
5
14
7
13
5
1
4
13
1","3
10
15
12
5
2
2
1
17
19
1
2
16
23
4
5
8
3
1
8
6
7
32
10
13
1
3
1
3
5
8
3
2","37
40
14
12
30
19
8
7
27
27
16
18
31
75
54
59
1
1
24
27
12
47
23
75
27
81
2
7
15
6
25
23
26
2
4","1
3
9
8
1
3
5
19
3
3
4
13
6
5
2
1
1
2
2
4
7
1
1
1
5
3
3","11
16
19
25
3
11
3
8
20
33
12
13
6
27
23
56
1
12
10
3
4
9
6
15
11
41
3
11
1
5
23
15
1
3","1
1
2
1
1
1","1
2
2
4
3
1
1
3
4
1
1
1
1
3
1
5
1
2","6
1
13
14
7
49
22
2
52
1
52
1
1
1
1
2
51
1
62
16
4
2
49
10
1
3","1
39
1
26
3
63
4
74
3
83
112
7
2
183
16
287
4
4
3
1
2
5
167
4
250
30
5
35
2
31
197
17
2","2
2
1
1
2
2
1
1
1
1
1
1","1
2
1
1
2
2
2
1
3
1
3
3
3
4
3
1
2
1
9","32
61
80
97
17
28
4
9
74
190
42
24
67
215
31
96
1
18
17
5
36
85
32
151
3
50
177
21
17
27
9
22
102
55
10
17
3
1","204
390
107
159
102
188
55
130
154
460
300
141
184
729
231
627
4
16
168
182
11
114
297
136
494
1
276
988
43
68
223
41
165
498
235
10
16
2
6","236
451
187
256
119
216
59
139
228
650
342
165
251
944
262
723
4
17
186
199
16
150
382
168
645
4
326
1165
64
85
250
50
187
600
290
20
33
5
7",
,Subtotal,"1,046","4,865",66,183,251,902,116,460,7,37,424,"1,663",16,45,"1,926","8,155",10081,
G. Bush,CAIA,18,22,1,5,4,3,3,1,,,4,1,2,4,28,36,64,
School of,CHLS,4,18,,1,,,,,,,,,1,1,5,20,25,
Govt,CNPM,14,7,3,1,,,,,,,,,1,,18,8,26,
,INTA,32,54,,3,2,5,2,1,,,,2,,,40,65,105,
,PSAA,34,29,3,2,7,7,,1,,,6,6,,1,50,46,96,
,Subtotal,102,130,7,12,13,15,5,3,,,10,9,4,6,141,175,316,
"Prepared by OISP, 05 May 10",,,,,,,,,,,,,,,,,,,
