Top 10,,,,,,,,,
Spring 2010  Feeder Patterns First Time In College,,,,,,,,,
Texas County   Students  % Total,,,,,,,,,
Brazos,,10,,,11.1%,,,,
Harris,,10,,,11.1%,,,,
Bexar,,8,,,8.9%,,,,
Tarrant,,7,,,7.8%,,,,
Montgomery,,5,,,5.6%,,,,
Comal,,3,,,3.3%,,,,
Bell,,2,,,2.2%,,,,
Bastrop,,2,,,2.2%,,,,
Collin,,2,,,2.2%,,,,
Dallas,,2,,,2.2%,,,,
State,Students  % Total,,,,,,,,
Texas,77,,,85.6%,,,,,
Pennsylvania,1,,,1.1%,,,,,
Kansas,1,,,1.1%,,,,,
California,1,,,1.1%,,,,,
Country            Students  % Total,,,,,,,,,
United States,,,80,,,88.9%,,,
United Arab Emirate,,,3,,,3.3%,,,
United Kingdom,,,1,,,1.1%,,,
Switzerland,,,1,,,1.1%,,,
Panama,,,1,,,1.1%,,,
Mexico,,,1,,,1.1%,,,
India,,,1,,,1.1%,,,
"China, People's Rep",,,1,,,1.1%,,,
Canada,,,1,,,1.1%,,,
