Spring 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
"Other - Special        CHEN
Populations             CLMD ECEN GACD MARA MARB MARS MEEN PETE SABX SRPH",,,,1,1,,"1
1","7
6",2,"7
2
6",1,1,,,"7
1
1
2
1
6",
University,Subtotal,,,1,1,,2,13,2,15,1,1,,,18,
,Total,"4,244","5,957","6,666","10,121",83,"27,071",176,"2,497","2,673","1,350","1,350",433,433,"31,527",
"Prepared by OISP, 05 May 10",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
