Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
France,8,12,5,,25,
Gabon Republic,4,,,,4,
Georgia (C.I.S.),,2,,,2,
Germany,3,15,6,,24,
Ghana,,9,1,,10,
Greece,,1,5,,6,
Grenada,1,,1,,2,
Guatemala,6,3,5,,14,
Honduras,10,,3,,13,
Hong Kong,10,1,4,,15,
Hungary,1,,,,1,
India,43,691,217,,951,
Indonesia,11,18,7,,36,
Iran,1,47,54,,102,
Iraq,3,1,,,4,
Israel,1,,,,1,
Italy,2,3,4,,9,
Jamaica,4,2,1,,7,
Japan,3,9,16,,28,
Jordan,3,7,3,,13,
Kazakhstan,32,1,1,,34,
Kenya,,1,4,,5,
"Korea, Republic of",36,157,298,,491,
Kuwait,3,2,2,,7,
Latvia,2,,,,2,
Lebanon,,3,7,,10,
Liberia,,1,,,1,
Libya,,3,,,3,
Macao,1,1,,,2,
Macedonia,,,2,,2,
Malaysia,24,5,4,,33,
Mauritius,,1,,,1,
Mexico,47,27,50,,124,
Mongolia,1,2,1,,4,
Morocco,,1,3,,4,
Nepal,23,8,10,,41,
Netherlands,2,1,,,3,
New Zealand,2,3,2,,7,
Nicaragua,4,1,,,5,
Nigeria,11,26,9,,46,
Norway,9,3,1,,13,
Oman,,2,3,,5,
Other Foreign or US,5,1,,,6,
110 of 142,,,,,,
