Texas A&M University,,,,,,,,,
Office of Institutional Studies and Planning,,,,,,,,,
Demographic Summary by Housing,,,,,,,,,
Spring 2010,,,,,,,,,
Enrollment Profile – Spring 2010,,,,,,,,,
Official Certified 12th Class Day Data,,,,,,,,,
"Spring 2010
Head Count      Total
Gender              Female Male
Ethnicity           White Black Hispanic Asian
American Indian International Unknown/Other
TAMU Age      <18
Categories        18-21
22-25
26-30
31-39
40+
College             Agriculture Architecture Business Admin Education Engineering
G. Bush School of Govt Geosciences
Liberal Arts Science
Veterinary Medicine General Studies
Other - Special Populations Enrollment       1st Time in College
Status                1st Time PB
1st Time Graduate 1st Time Transfer Readmitted Continuing
Tuition             Resident Tuition
Status               Non-Resident Tuition Tuition Exemption/Waiver
Residency         Texas Resident
Status               Non-TX, US Resident
Non-TX, Non-US Resident
SCH                  < 6 SCH
Categories        6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:                Less Than Half Time
TAMU              Half-Time
Full-Time",Undergraduate,,Masters,,PhD,Professional,Grand Total,,
,Off-campus,Dorm,Off-campus,Dorm,Off-campus,Off-campus,Off-campus,Dorm,
,,(On-campus),,(On-campus),,,,(On-campus),
,"27,397","8,990","5,362",16,"3,588",507,"36,854","9,006",
,"13,633","3,841","2,192",5,"1,476",382,"17,683","3,846",
,"13,764","5,149","3,170",11,"2,112",125,"19,171","5,160",
,"21,086","5,985","2,668",5,"1,350",433,"25,537","5,990",
,755,411,160,,206,3,"1,124",411,
,"3,489","1,770",396,2,277,51,"4,213","1,772",
,"1,261",620,169,3,98,14,"1,542",623,
,160,59,18,2,15,2,195,61,
,501,113,"1,875",4,"1,603",,"3,979",117,
,145,32,76,,39,4,264,32,
,1,1,,,,,1,1,
,"13,585","7,927",7,1,,,"13,592","7,928",
,"12,850","1,043","2,654",11,211,261,"15,976","1,054",
,661,14,"1,806",2,"1,475",209,"4,151",16,
,210,4,625,2,"1,338",31,"2,204",6,
,90,1,270,,564,6,930,1,
,"4,187",761,730,2,537,,"5,454",763,
,"1,061",280,375,,90,,"1,526",280,
,"3,372",787,689,1,63,,"4,124",788,
,"3,280",519,594,1,738,,"4,612",520,
,"5,067","2,314","1,636",5,"1,059",,"7,762","2,319",
,,,313,3,,,313,3,
,464,144,199,,138,,801,144,
,"4,747","1,292",307,1,463,,"5,517","1,293",
,"1,351",803,396,,426,,"2,173",803,
,987,554,82,,73,507,"1,649",554,
,"2,852","1,507",,,,,"2,852","1,507",
,29,29,41,3,1,,71,32,
,37,53,,,,,37,53,
,,,106,1,,,106,1,
,,,417,8,97,,514,8,
,697,100,,,,,697,100,
,239,14,13,,5,,257,14,
,"26,424","8,823","4,826",7,"3,486",507,"35,243","8,830",
,"25,919","8,162","2,708",9,"1,343",469,"30,439","8,171",
,689,179,694,4,306,7,"1,696",183,
,789,649,"1,960",3,"1,939",31,"4,719",652,
,"26,209","8,399","2,783",9,"1,404",475,"30,871","8,408",
,680,473,700,3,573,32,"1,985",476,
,508,118,"1,879",4,"1,611",,"3,998",122,
,"1,069",26,720,,682,,"2,471",26,
,"1,256",58,707,1,196,,"2,159",59,
,"1,711",63,"3,124",11,"2,626",,"7,461",74,
,"14,024","4,520",642,4,67,,"14,733","4,524",
,"8,671","4,073",98,,15,,"8,784","4,073",
,666,250,71,,2,507,"1,246",250,
,976,26,505,,522,,"2,003",26,
,887,52,791,1,321,,"1,999",53,
,"1,622",63,,,,,"1,622",63,
,"23,912","8,849","4,066",15,"2,745",507,"31,230","8,864",
"Prepared by OISP, 05 May 10",,,,,,,,,
