Spring 2010,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
G. Bush,CAIA,,,64,-5.9%,,,,,64,-5.9%,
"School of
Govt",CHLS CNPM,,,"25
26","-3.8%
13.0%",,,,,"25
26","-3.8%
13.0%",
,INTA,,,105,9.4%,,,,,105,9.4%,
,PSAA,,,96,6.7%,,,,,96,6.7%,
,Subtotal,,,316,4.3%,,,,,316,4.3%,
Geosciences,ATMO,95,31.9%,28,33.3%,23,-14.8%,,,51,6.3%,
,ENGS,,,,,,,,,95,31.9%,
,ENST,86,68.6%,,,,,,,86,68.6%,
,GEOG,85,-9.6%,28,7.7%,28,-9.7%,,,141,-6.6%,
,GEOL,163,9.4%,60,11.1%,22,15.8%,,,245,10.4%,
,GEOP,42,5.0%,18,63.6%,11,10.0%,,,71,16.4%,
,GEOS,,,4,100.0%,,,,,4,100.0%,
,MARB,,,1,100.0%,,,,,1,100.0%,
,METR,124,1.6%,,,,,,,124,1.6%,
,OCNG,,,39,8.3%,44,15.8%,,,83,12.2%,
,SPSG,6,-33.3%,,,,,,,6,-33.3%,
,USGE,7,100.0%,,,,,,,7,100.0%,
,WMHS,,,21,-4.5%,10,11.1%,,,31,0.0%,
,Subtotal,608,13.2%,199,15.7%,138,3.0%,,,945,12.1%,
"Prepared by OISP, 05 May 10",,,,,,,,,,,,
