Summer 2001,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,542,5.2%,207,-13.0%,299,2.0%,,,1048,0.2%,
Gender,Male,232,2.7%,132,-3.6%,202,-4.3%,,,566,-1.4%,
,Female,310,7.3%,75,-25.7%,97,18.3%,,,482,2.1%,
Ethnic Origin,White,401,6.4%,103,-23.7%,110,-5.2%,,,614,-2.2%,
,Black,24,-7.7%,6,0.0%,3,-25.0%,,,33,-8.3%,
,Hispanic,56,-3.4%,6,20.0%,9,80.0%,,,71,4.4%,
,Asian,38,15.2%,7,-30.0%,6,50.0%,,,51,8.5%,
,American Indian,1,0.0%,0,-100.0%,2,0.0%,,,3,-25.0%,
,International,10,66.7%,83,6.4%,167,4.4%,,,260,6.6%,
,Unknown/Other,12,-14.3%,2,-33.3%,2,0.0%,,,16,-15.8%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,316,8.6%,3,50.0%,,,,,319,8.9%,
,,,,,,,,,,,,
,22-25,205,3.0%,88,-17.0%,51,18.6%,,,344,-1.1%,
,26-30,17,30.8%,58,-7.9%,157,-0.6%,,,232,-0.9%,
,31-39,3,-57.1%,39,56.0%,81,0.0%,,,123,8.8%,
,40+,1,-80.0%,19,-54.8%,10,-9.1%,,,30,-48.3%,
Enrollment,1st Time in College,4,33.3%,,,,,,,4,33.3%,
Status,1st Time PB,3,100.0%,,,,,,,3,100.0%,
,,,,,,,,,,,,
,1st Time Graduate,,,16,166.7%,3,-50.0%,,,19,58.3%,
,1st Time Transfer,7,-36.4%,,,,,,,7,-36.4%,
,Re Admitted,8,33.3%,,,1,100.0%,,,9,50.0%,
,Continuing,520,5.1%,191,-17.7%,295,2.8%,,,1006,-0.8%,
Tuition Status,Resident Tuition,498,9.2%,60,-27.7%,50,0.0%,,,608,3.2%,
,Non-Resident Tuition,24,-22.6%,31,3.3%,27,35.0%,,,82,1.2%,
,Tuition Exemption/Waiver,20,-28.6%,116,-7.2%,222,-0.4%,,,358,-4.8%,
Residency,Texas Resident,500,9.4%,60,-27.7%,52,4.0%,,,612,3.7%,
Status,"Non-TX, US Resident",33,-35.3%,64,-16.9%,80,-3.6%,,,177,-16.1%,
,"Non-TX, Non-US Resident",9,28.6%,83,6.4%,167,4.4%,,,259,5.7%,
SCH,< 6 SCH,179,-9.6%,49,28.9%,44,-33.3%,,,272,-9.9%,
Categories,6-8 SCH,237,11.8%,155,-19.7%,248,12.2%,,,640,2.2%,
,,,,,,,,,,,,
,9-11 SCH,85,10.4%,2,-60.0%,6,20.0%,,,93,6.9%,
,12-14 SCH,34,36.0%,1,-50.0%,1,0.0%,,,36,28.6%,
,15-17 SCH,7,133.3%,,,,,,,7,133.3%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:  TAMU,Less Than Half Time,45,100.0%,14,100.0%,20,100.0%,,,79,100.0%,
Status,Half-Time,165,100.0%,2,100.0%,1,100.0%,,,168,100.0%,
,,,,,,,,,,,,
,Full-Time,332,100.0%,191,100.0%,278,100.0%,,,801,100.0%,
"Prepared by OISP, 09 Aug 01",,,,,,,,,,,,
