Top 10,,,,,,,,,
Summer 2001 Feeder Patterns First Time In College,,,,,,,,,
Texas County   Students  % Total,,,,,,,,,
Harris,,44,,,,15.7%,,,
Brazos,,32,,,,11.4%,,,
Bexar,,17,,,,6.1%,,,
Dallas,,13,,,,4.6%,,,
Tarrant,,9,,,,3.2%,,,
Cameron,,7,,,,2.5%,,,
Hidalgo,,7,,,,2.5%,,,
Travis,,7,,,,2.5%,,,
Bell,,6,,,,2.1%,,,
Victoria,,6,,,,2.1%,,,
State,Students  % Total,,,,,,,,
Texas,270,,,96.4%,,,,,
Louisiana,4,,,1.4%,,,,,
Arkansas,1,,,0.4%,,,,,
Kentucky,1,,,0.4%,,,,,
Michigan,1,,,0.4%,,,,,
Country        Students  % Total,,,,,,,,,
United States,,,277,,98.9%,,,,
El Salvador,,,1,,0.4%,,,,
"Korea, Republic o",,,1,,0.4%,,,,
Mexico,,,1,,0.4%,,,,
