Summer 2001,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,711,8.1%,40,-9.1%,76,-5.0%,134,3.1%,961,5.4%,
Gender,Male,241,13.1%,21,0.0%,40,-2.4%,42,0.0%,344,8.5%,
,Female,470,5.6%,19,-17.4%,36,-7.7%,92,4.5%,617,3.7%,
Ethnic Origin,White,573,11.0%,30,-11.8%,42,-8.7%,121,1.7%,766,7.1%,
,Black,17,-39.3%,1,100.0%,1,0.0%,,,19,-34.5%,
,Hispanic,64,-8.6%,3,50.0%,2,-50.0%,5,-16.7%,74,-9.8%,
,Asian,35,16.7%,0,-100.0%,3,0.0%,5,25.0%,43,13.2%,
,American Indian,5,-16.7%,,,,,2,100.0%,7,0.0%,
,International,2,0.0%,6,-14.3%,27,8.0%,,,35,2.9%,
,Unknown/Other,15,150.0%,,,1,0.0%,1,100.0%,17,142.9%,
TAMU Age,<18,0,-100.0%,,,,,,,0,-100.0%,
Categories,18-21,421,9.1%,,,,,,,421,9.1%,
,,,,,,,,,,,,
,22-25,264,7.3%,17,6.3%,5,66.7%,65,25.0%,351,10.7%,
,26-30,18,20.0%,16,-5.9%,31,-8.8%,52,-11.9%,117,-6.4%,
,31-39,5,-16.7%,6,-33.3%,28,-9.7%,16,0.0%,55,-11.3%,
,40+,3,0.0%,1,-50.0%,12,0.0%,1,-66.7%,17,-15.0%,
Enrollment,1st Time in College,6,-25.0%,,,,,,,6,-25.0%,
Status,1st Time PB,1,0.0%,,,,,,,1,0.0%,
,,,,,,,,,,,,
,1st Time Graduate,,,5,25.0%,0,-100.0%,,,5,-16.7%,
,1st Time Transfer,7,250.0%,,,,,,,7,250.0%,
,Re Admitted,2,-75.0%,,,,,,,2,-75.0%,
,Continuing,695,8.8%,35,-12.5%,76,-2.6%,134,3.1%,940,6.0%,
Tuition Status,Resident Tuition,688,8.2%,29,11.5%,31,0.0%,126,1.6%,874,7.0%,
,Non-Resident Tuition,11,22.2%,2,0.0%,5,-44.4%,4,100.0%,22,10.0%,
,Tuition Exemption/Waiver,12,-7.7%,9,-43.8%,40,0.0%,4,-33.3%,65,-13.3%,
Residency,Texas Resident,688,8.2%,29,11.5%,31,0.0%,126,1.6%,874,7.0%,
Status,"Non-TX, US Resident",21,10.5%,5,-54.5%,18,-25.0%,8,33.3%,52,-13.3%,
,"Non-TX, Non-US Resident",2,-33.3%,6,-14.3%,27,8.0%,,,35,0.0%,
SCH,< 6 SCH,282,16.0%,17,-22.7%,19,-5.0%,5,66.7%,323,12.2%,
Categories,6-8 SCH,262,-5.1%,23,15.0%,55,-5.2%,129,1.6%,469,-2.5%,
,,,,,,,,,,,,
,9-11 SCH,124,22.8%,,,1,-50.0%,,,125,21.4%,
,12-14 SCH,39,8.3%,0,-100.0%,1,100.0%,,,40,5.3%,
,15-17 SCH,2,0.0%,,,,,,,2,0.0%,
,>17 SCH,2,100.0%,,,,,,,2,100.0%,
Ft/Pt:  TAMU,Less Than Half Time,80,100.0%,7,100.0%,11,100.0%,,,98,100.0%,
Status,Half-Time,230,100.0%,6,100.0%,5,100.0%,9,100.0%,250,100.0%,
,,,,,,,,,,,,
,Full-Time,401,100.0%,27,100.0%,60,100.0%,125,100.0%,613,100.0%,
"Prepared by OISP, 09 Aug 01",,,,,,,,,,,,
