Summer 2001,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,2397,6.1%,452,2.5%,377,-1.0%,,,3226,4.7%,
Gender,Male,1243,3.8%,217,-0.9%,239,0.0%,,,1699,2.7%,
,Female,1154,8.6%,235,5.9%,138,-2.8%,,,1527,7.0%,
Ethnic Origin,White,2048,7.7%,322,-0.9%,192,-8.1%,,,2562,5.2%,
,Black,71,-5.3%,6,200.0%,1,-66.7%,,,78,-2.5%,
,Hispanic,169,-0.6%,20,0.0%,13,18.2%,,,202,0.5%,
,Asian,31,-16.2%,11,22.2%,13,62.5%,,,55,1.9%,
,American Indian,12,71.4%,1,0.0%,,,,,13,62.5%,
,International,32,14.3%,88,7.3%,153,7.0%,,,273,7.9%,
,Unknown/Other,34,-17.1%,4,100.0%,5,-28.6%,,,43,-14.0%,
TAMU Age,<18,0,-100.0%,,,,,,,0,-100.0%,
Categories,18-21,936,2.9%,0,-100.0%,,,,,936,2.6%,
,,,,,,,,,,,,
,22-25,1320,8.4%,258,5.3%,29,11.5%,,,1607,7.9%,
,26-30,101,11.0%,117,-11.4%,148,-3.3%,,,366,-2.7%,
,31-39,29,-3.3%,56,27.3%,146,-0.7%,,,231,4.5%,
,40+,11,10.0%,21,16.7%,54,-1.8%,,,86,3.6%,
Enrollment,1st Time in College,6,-14.3%,,,,,,,6,-14.3%,
Status,1st Time PB,5,0.0%,,,,,,,5,0.0%,
,,,,,,,,,,,,
,1st Time Graduate,,,35,-10.3%,5,-16.7%,,,40,-11.1%,
,1st Time Transfer,123,50.0%,0,-100.0%,,,,,123,48.2%,
,Re Admitted,43,4.9%,4,100.0%,,,,,47,14.6%,
,Continuing,2220,4.5%,413,3.0%,372,-0.8%,,,3005,3.6%,
Tuition Status,Resident Tuition,2268,6.0%,260,2.4%,116,-4.9%,,,2644,5.1%,
,Non-Resident Tuition,76,10.1%,42,-6.7%,49,-14.0%,,,167,-2.3%,
,Tuition Exemption/Waiver,53,1.9%,150,5.6%,212,5.0%,,,415,4.8%,
Residency,Texas Resident,2271,6.1%,260,2.4%,117,-5.6%,,,2648,5.1%,
Status,"Non-TX, US Resident",93,2.2%,103,-1.9%,106,-5.4%,,,302,-1.9%,
,"Non-TX, Non-US Resident",33,17.9%,89,8.5%,154,6.2%,,,276,8.2%,
SCH,< 6 SCH,738,6.2%,151,2.7%,90,-9.1%,,,979,4.0%,
Categories,6-8 SCH,912,9.4%,268,-0.4%,278,1.8%,,,1458,6.0%,
,,,,,,,,,,,,
,9-11 SCH,424,7.6%,16,-20.0%,8,33.3%,,,448,6.7%,
,12-14 SCH,276,-3.2%,16,220.0%,0,-100.0%,,,292,-0.3%,
,15-17 SCH,35,20.7%,1,100.0%,1,100.0%,,,37,27.6%,
,>17 SCH,12,-47.8%,,,,,,,12,-47.8%,
Ft/Pt:  TAMU,Less Than Half Time,125,100.0%,79,100.0%,55,100.0%,,,259,100.0%,
Status,Half-Time,714,100.0%,25,100.0%,10,100.0%,,,749,100.0%,
,,,,,,,,,,,,
,Full-Time,1558,100.0%,348,100.0%,312,100.0%,,,2218,100.0%,
"Prepared by OISP, 09 Aug 01",,,,,,,,,,,,
