Summer 2001,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Education          CPSY
EDAD EDCI EDHL EDIS EDIT EDKI EDTC EHRD EPSY HEED HLTH IDTC INST KINE PHED SPSY TECR",,"108
337
3
239
91
1
382
195
7","2.9%
6.3%
100.0%
53.2%
-31.6%
-50.0%
22.8%
3.7%
-53.3%","2
65
179
27
28
82
3
28
6
3","100.0%
-8.5%
35.6%
-10.0%
-3.4%
57.7%
-50.0%
-3.4%
-33.3%
-40.0%","37
135
94
90
55
8
16
6
30","-14.0%
-8.8%
14.6%
13.9%
34.1%
14.3%
-23.8%
0.0%
-9.1%",,,"39
200
273
108
337
3
239
27
118
137
11
91
1
382
239
12
33
7","-9.3%
-8.7%
27.6%
2.9%
6.3%
100.0%
53.2%
-10.0%
9.3%
47.3%
-15.4%
-31.6%
-50.0%
22.8%
0.4%
-20.0%
-13.2%
-53.3%",
,Subtotal,1363,11.1%,423,16.5%,471,2.4%,,,2257,10.1%,
"Prepared by OISP, 09 Aug 01",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
