Summer 2001,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,503,-5.8%,160,1.9%,38,11.8%,,,701,-3.3%,
Gender,Male,316,-13.4%,92,-8.9%,30,20.0%,,,438,-10.8%,
,Female,187,10.7%,68,21.4%,8,-11.1%,,,263,12.4%,
Ethnic Origin,White,421,-4.1%,73,-19.8%,15,-6.3%,,,509,-6.8%,
,Black,5,-28.6%,1,-50.0%,2,0.0%,,,8,-27.3%,
,Hispanic,47,-11.3%,7,0.0%,1,100.0%,,,55,-8.3%,
,Asian,12,20.0%,5,25.0%,1,0.0%,,,18,20.0%,
,American Indian,3,50.0%,1,100.0%,,,,,4,100.0%,
,International,5,-58.3%,72,38.5%,18,20.0%,,,95,20.3%,
,Unknown/Other,10,-9.1%,1,0.0%,1,100.0%,,,12,0.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,212,0.5%,1,100.0%,,,,,213,0.9%,
,,,,,,,,,,,,
,22-25,275,-4.2%,61,1.7%,2,100.0%,,,338,-2.6%,
,26-30,9,-64.0%,67,6.3%,8,-11.1%,,,84,-13.4%,
,31-39,6,-40.0%,22,-15.4%,18,12.5%,,,46,-11.5%,
,40+,1,0.0%,9,12.5%,10,11.1%,,,20,11.1%,
Enrollment,1st Time in College,0,-100.0%,,,,,,,0,-100.0%,
Status,1st Time PB,,,,,,,,,,,
,,,,,,,,,,,,
,1st Time Graduate,,,13,-7.1%,0,-100.0%,,,13,-18.8%,
,1st Time Transfer,6,100.0%,,,,,,,6,100.0%,
,Re Admitted,3,50.0%,,,,,,,3,50.0%,
,Continuing,494,-6.1%,147,2.8%,38,18.8%,,,679,-3.1%,
Tuition Status,Resident Tuition,482,-2.2%,74,-14.9%,15,7.1%,,,571,-3.9%,
,Non-Resident Tuition,14,-46.2%,34,6.3%,9,-10.0%,,,57,-16.2%,
,Tuition Exemption/Waiver,7,-53.3%,52,36.8%,14,40.0%,,,73,15.9%,
Residency,Texas Resident,482,-2.2%,75,-13.8%,15,7.1%,,,572,-3.7%,
Status,"Non-TX, US Resident",16,-42.9%,13,-27.8%,5,0.0%,,,34,-33.3%,
,"Non-TX, Non-US Resident",5,-61.5%,72,38.5%,18,20.0%,,,95,18.8%,
SCH,< 6 SCH,149,-10.2%,80,21.2%,15,36.4%,,,244,0.4%,
Categories,6-8 SCH,200,11.1%,63,-7.4%,17,-15.0%,,,280,4.5%,
,,,,,,,,,,,,
,9-11 SCH,100,3.1%,14,16.7%,1,100.0%,,,115,5.5%,
,12-14 SCH,45,-41.6%,2,-71.4%,2,-33.3%,,,49,-43.7%,
,15-17 SCH,9,-30.8%,1,-75.0%,3,100.0%,,,13,-23.5%,
,>17 SCH,0,-100.0%,,,,,,,0,-100.0%,
Ft/Pt:  TAMU,Less Than Half Time,11,100.0%,18,100.0%,10,100.0%,,,39,100.0%,
Status,Half-Time,115,100.0%,30,100.0%,1,100.0%,,,146,100.0%,
,,,,,,,,,,,,
,Full-Time,377,100.0%,112,100.0%,27,100.0%,,,516,100.0%,
"Prepared by OISP, 09 Aug 01",,,,,,,,,,,,
