Summer 2001,,Undergraduate,,Masters,,PhD,,Professional,,,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,,
AG & Life,ADEV,396,-0.5%,3,0.0%,32,-5.9%,,,399,-0.5%,
Science,AGBL,46,-42.5%,,,,,,,46,-42.5%,
,AGBU,149,9.6%,21,23.5%,,,,,170,11.1%,
,AGEC,210,23.5%,24,0.0%,,,,,266,16.7%,
,AGED,,,34,78.9%,30,50.0%,,,64,64.1%,
,AGEN,38,15.2%,22,-4.3%,7,16.7%,,,67,8.1%,
,AGJR,37,-7.5%,,,,,,,37,-7.5%,
,AGLS,169,67.3%,,,,,,,169,67.3%,
,AGRO,54,22.7%,7,-41.7%,8,-11.1%,,,69,6.2%,
,AGSC,68,44.7%,,,,,,,68,44.7%,
,AGSM,76,11.8%,1,-50.0%,,,,,77,10.0%,
,ANBR,,,,,1,0.0%,,,1,0.0%,
,ANSC,233,-20.2%,47,51.6%,14,-26.3%,,,294,-14.0%,
,BESC,81,5.2%,,,,,,,81,5.2%,
,BICH,71,2.9%,23,-30.3%,65,22.6%,,,159,2.6%,
,BSEN,17,30.8%,,,,,,,17,30.8%,
,DASC,5,-37.5%,,,,,,,5,-37.5%,
,ENTO,13,-13.3%,17,-15.0%,22,-12.0%,,,52,-13.3%,
,FLOR,0,-100.0%,,,,,,,0,-100.0%,
,FORS,19,137.5%,2,0.0%,7,-12.5%,,,28,55.6%,
,FSTC,43,-6.5%,31,19.2%,15,25.0%,,,89,6.0%,
,GENE,88,7.3%,6,-25.0%,23,-4.2%,,,117,2.6%,
,HORT,63,12.5%,20,5.3%,7,-30.0%,,,90,5.9%,
,MEPS,,,3,100.0%,5,100.0%,,,8,100.0%,
,NRDV,,,1,-50.0%,,,,,1,-50.0%,
,NUSC,92,-6.1%,,,,,,,92,-6.1%,
,NUTR,,,39,-2.5%,15,15.4%,,,54,1.9%,
,PLBR,,,9,-18.2%,11,-8.3%,,,20,-13.0%,
,PLPA,,,10,-28.6%,19,5.6%,,,29,-9.4%,
,POSC,56,16.7%,6,-53.8%,6,0.0%,,,68,1.5%,
,PPHY,,,1,-87.5%,1,-90.9%,,,2,-89.5%,
,PPRO,,,1,100.0%,,,,,1,100.0%,
,PREP,,,12,-29.4%,10,25.0%,,,22,-12.0%,
,PSSC,5,66.7%,,,,,,,5,66.7%,
,RENR,12,50.0%,,,,,,,12,50.0%,
,RLEM,45,32.4%,21,31.3%,16,0.0%,,,82,24.2%,
,RPTS,160,18.5%,11,57.1%,4,-66.7%,,,175,13.6%,
,RRDV,,,1,100.0%,1,-50.0%,,,2,0.0%,
,RSOC,,,0,-100.0%,,,,,0,-100.0%,
,SOSC,,,9,-35.7%,15,0.0%,,,24,-17.2%,
"Prepared by OISP, 09 Aug 01",,,,,,,,,,,,
