Summer 2001,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,2070,-13.7%,386,7.8%,68,-12.8%,,,2524,-11.0%,
Gender,Male,922,-19.1%,226,18.3%,40,-16.7%,,,1188,-13.9%,
,Female,1148,-8.8%,160,-4.2%,28,-6.7%,,,1336,-8.2%,
Ethnic Origin,White,1797,-10.8%,272,5.0%,31,-20.5%,,,2100,-9.2%,
,Black,31,-35.4%,5,66.7%,3,-40.0%,,,39,-30.4%,
,Hispanic,131,-27.6%,12,-52.0%,4,-20.0%,,,147,-30.3%,
,Asian,52,-21.2%,7,75.0%,0,-100.0%,,,59,-16.9%,
,American Indian,5,-44.4%,0,-100.0%,2,0.0%,,,7,-41.7%,
,International,25,-43.2%,86,38.7%,27,8.0%,,,138,5.3%,
,Unknown/Other,29,-19.4%,4,0.0%,1,0.0%,,,34,-17.1%,
TAMU Age,<18,1,100.0%,,,,,,,1,100.0%,
Categories,18-21,1115,-9.6%,3,200.0%,,,,,1118,-9.4%,
,,,,,,,,,,,,
,22-25,894,-18.1%,228,0.9%,2,0.0%,,,1124,-14.8%,
,26-30,41,-8.9%,113,41.2%,19,-5.0%,,,173,19.3%,
,31-39,13,-38.1%,36,-18.2%,31,-6.1%,,,80,-18.4%,
,40+,6,-33.3%,6,-14.3%,16,-30.4%,,,28,-28.2%,
Enrollment,1st Time in College,11,10.0%,,,,,,,11,10.0%,
Status,1st Time PB,,,,,,,,,,,
,,,,,,,,,,,,
,1st Time Graduate,,,136,38.8%,,,,,136,38.8%,
,1st Time Transfer,15,-11.8%,,,,,,,15,-11.8%,
,Re Admitted,19,-9.5%,1,100.0%,,,,,20,-4.8%,
,Continuing,2025,-13.9%,249,-4.2%,68,-12.8%,,,2342,-12.9%,
Tuition Status,Resident Tuition,1982,-13.5%,259,0.8%,22,-26.7%,,,2263,-12.3%,
,Non-Resident Tuition,54,-26.0%,41,57.7%,12,-14.3%,,,107,-5.3%,
,Tuition Exemption/Waiver,34,0.0%,86,14.7%,34,0.0%,,,154,7.7%,
Residency,Texas Resident,1984,-13.4%,259,0.8%,24,-25.0%,,,2267,-12.2%,
Status,"Non-TX, US Resident",61,-1.6%,41,5.1%,17,-19.0%,,,119,-2.5%,
,"Non-TX, Non-US Resident",25,-44.4%,86,38.7%,27,8.0%,,,138,4.5%,
SCH,< 6 SCH,544,-10.8%,116,16.0%,25,-3.8%,,,685,-6.9%,
Categories,6-8 SCH,769,-15.8%,142,4.4%,43,-10.4%,,,954,-13.0%,
,,,,,,,,,,,,
,9-11 SCH,415,-4.8%,79,8.2%,0,-100.0%,,,494,-3.7%,
,12-14 SCH,317,-22.7%,47,4.4%,,,,,364,-20.0%,
,15-17 SCH,24,4.3%,1,-66.7%,,,,,25,-3.8%,
,>17 SCH,1,-85.7%,1,0.0%,,,,,2,-75.0%,
Ft/Pt:  TAMU,Less Than Half Time,122,100.0%,9,100.0%,21,100.0%,,,152,100.0%,
Status,Half-Time,568,100.0%,32,100.0%,2,100.0%,,,602,100.0%,
,,,,,,,,,,,,
,Full-Time,1380,100.0%,345,100.0%,45,100.0%,,,1770,100.0%,
"Prepared by OISP, 09 Aug 01",,,,,,,,,,,,
