Summer 2001,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,,
General                  GEST,,198,162,23,21,43,28,7,11,1,2,1,,8,5,281,229,510,
Studies,Subtotal,198,162,23,21,43,28,7,11,1,2,1,,8,5,281,229,510,
"Other                     PHLT
REEP",,1,5,1,1,3,4,,,,,8,"2
13",,2,"5
8","14
13","19
21",
,Subtotal,1,5,1,1,3,4,,,,,8,15,,2,13,27,40,
GRAND Total,,6689,6794,206,299,740,731,332,266,47,36,1621,608,138,130,9773,8864,18637,
"Prepared by OISP, 09 Aug 01",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
