Summer 2001,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,1363,11.1%,423,16.5%,471,2.4%,,,2257,10.1%,
Gender,Male,254,9.0%,99,5.3%,171,1.2%,,,524,5.6%,
,Female,1109,11.6%,324,20.4%,300,3.1%,,,1733,11.5%,
Ethnic Origin,White,1187,12.8%,312,17.3%,304,-3.8%,,,1803,10.3%,
,Black,38,31.0%,23,-17.9%,56,5.7%,,,117,6.4%,
,Hispanic,106,-7.0%,47,23.7%,65,12.1%,,,218,3.8%,
,Asian,6,-33.3%,7,40.0%,2,-60.0%,,,15,-21.1%,
,American Indian,6,-25.0%,3,0.0%,3,50.0%,,,12,-7.7%,
,International,3,100.0%,24,60.0%,31,63.2%,,,58,70.6%,
,Unknown/Other,17,13.3%,7,-12.5%,10,42.9%,,,34,13.3%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,630,25.7%,0,-100.0%,,,,,630,25.5%,
,,,,,,,,,,,,
,22-25,667,0.3%,124,30.5%,10,0.0%,,,801,4.0%,
,26-30,42,0.0%,96,4.3%,79,-6.0%,,,217,-0.5%,
,31-39,17,21.4%,79,23.4%,146,6.6%,,,242,12.6%,
,40+,7,40.0%,124,11.7%,236,3.1%,,,367,6.4%,
Enrollment,1st Time in College,1,0.0%,,,,,,,1,0.0%,
Status,1st Time PB,2,100.0%,,,,,,,2,100.0%,
,,,,,,,,,,,,
,1st Time Graduate,,,58,5.5%,9,-35.7%,,,67,-2.9%,
,1st Time Transfer,56,30.2%,,,,,,,56,30.2%,
,Re Admitted,13,8.3%,1,100.0%,1,100.0%,,,15,25.0%,
,Continuing,1291,10.2%,364,18.2%,461,3.4%,,,2116,9.9%,
Tuition Status,Resident Tuition,1336,11.0%,347,13.8%,392,3.2%,,,2075,9.8%,
,Non-Resident Tuition,16,14.3%,38,2.7%,23,4.5%,,,77,5.5%,
,Tuition Exemption/Waiver,11,22.2%,38,81.0%,56,-3.4%,,,105,19.3%,
Residency,Texas Resident,1336,10.9%,348,13.7%,392,2.9%,,,2076,9.7%,
Status,"Non-TX, US Resident",24,14.3%,51,21.4%,48,-20.0%,,,123,0.0%,
,"Non-TX, Non-US Resident",3,200.0%,24,60.0%,31,63.2%,,,58,65.7%,
SCH,< 6 SCH,346,24.0%,137,26.9%,227,5.1%,,,710,17.7%,
Categories,6-8 SCH,475,3.3%,178,35.9%,133,-5.7%,,,786,7.4%,
,,,,,,,,,,,,
,9-11 SCH,231,4.1%,80,-4.8%,83,12.2%,,,394,3.7%,
,12-14 SCH,273,11.0%,27,-22.9%,21,-16.0%,,,321,4.9%,
,15-17 SCH,30,87.5%,1,-66.7%,7,133.3%,,,38,72.7%,
,>17 SCH,8,100.0%,0,-100.0%,0,-100.0%,,,8,14.3%,
Ft/Pt:  TAMU,Less Than Half Time,14,100.0%,14,100.0%,131,100.0%,,,159,100.0%,
Status,Half-Time,370,100.0%,11,100.0%,37,100.0%,,,418,100.0%,
,,,,,,,,,,,,
,Full-Time,979,100.0%,398,100.0%,303,100.0%,,,1680,100.0%,
"Prepared by OISP, 09 Aug 01",,,,,,,,,,,,
