Summer 2001,,Undergraduate,,Masters,,PhD,,Professional,,,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,,
Engineering,AERL,40,-7.0%,45,45.2%,32,-3.0%,,,40,-7.0%,
,AERO,98,12.6%,,,,,,,175,15.9%,
,BMEL,31,-8.8%,,,,,,,31,-8.8%,
,BMEN,74,4.2%,26,52.9%,17,70.0%,,,117,19.4%,
,CECL,47,-13.0%,,,,,,,47,-13.0%,
,CECN,124,-3.1%,2,100.0%,1,100.0%,,,127,-1.6%,
,CEEL,42,23.5%,,,,,,,42,23.5%,
,CEEN,75,15.4%,,,,,,,75,15.4%,
,CHEL,53,-25.4%,,,,,,,53,-25.4%,
,CHEN,175,-12.9%,29,0.0%,62,10.7%,,,266,-7.0%,
,CPEN,,,42,-4.5%,16,23.1%,,,58,1.8%,
,CPSC,168,-2.3%,116,2.7%,62,5.1%,,,346,0.6%,
,CPSL,83,-14.4%,,,,,,,83,-14.4%,
,CVEL,64,23.1%,,,,,,,64,23.1%,
,CVEN,249,7.3%,87,-5.4%,56,-13.8%,,,392,0.8%,
,ELEL,75,-12.8%,,,,,,,75,-12.8%,
,ELEN,184,1.1%,85,-30.9%,131,2.3%,,,400,-7.6%,
,ENGR,,,1,100.0%,3,-25.0%,,,4,0.0%,
,ENSM,,,2,0.0%,,,,,2,0.0%,
,ENTC,242,26.0%,,,,,,,242,26.0%,
,ENTL,36,-21.7%,,,,,,,36,-21.7%,
,HLPH,,,3,50.0%,,,,,3,50.0%,
,IDIL,90,2.3%,,,,,,,90,2.3%,
,IDIS,164,2.5%,,,,,,,164,2.5%,
,IHYG,,,1,-75.0%,,,,,1,-75.0%,
,INEL,29,107.1%,,,,,,,29,107.1%,
,INEN,75,-21.1%,93,25.7%,27,17.4%,,,195,1.6%,
,ITDE,,,3,0.0%,9,-35.7%,,,12,-29.4%,
,LCEM,,,0,-100.0%,,,,,0,-100.0%,
,MEEL,72,-20.0%,,,,,,,72,-20.0%,
,MEEN,328,-1.2%,155,20.2%,68,13.3%,,,551,5.8%,
,NUEL,14,40.0%,,,,,,,14,40.0%,
,NUEN,22,4.8%,16,-27.3%,15,15.4%,,,53,-5.4%,
,OCEL,12,71.4%,,,,,,,12,71.4%,
,OCEN,25,13.6%,12,-25.0%,16,-11.1%,,,53,-5.4%,
,PETE,13,-23.5%,68,-2.9%,28,7.7%,,,109,-3.5%,
,PETL,22,37.5%,,,,,,,22,37.5%,
,PREN,47,74.1%,,,,,,,47,74.1%,
,RHEL,2,0.0%,,,,,,,2,0.0%,
,RHEN,8,60.0%,,,,,,,8,60.0%,
"Prepared by OISP, 09 Aug 01",,,,,,,,,,,,
