Country,Undergraduate,Masters,PhD,Professional,Total Students
Albania,1,,,,1
Algeria,,1,,,1
Angola,1,,,,1
Argentina,3,5,4,,12
Armenia,,3,1,,4
Australia,,3,,,3
Azerbaijan,,1,,,1
Bangladesh,5,14,6,,25
Belarus,,4,3,,7
Belize (British Honduras),1,,,,1
Bolivia,4,1,1,,6
Bosnia-Herzegovina,,1,,,1
Botswana,,1,1,,2
Brazil,5,,6,,11
Bulgaria,,4,3,,7
Canada,7,10,18,,35
Chile,,1,1,,2
"China, People's Rep of",9,163,242,,414
Colombia,3,15,11,,29
Costa Rica,3,2,4,,9
Cote d'Ivoire (Ivory Coast),,,1,,1
Croatia,,1,,,1
Cyprus,2,,,,2
Dominican Republic,1,,1,,2
Ecuador,10,9,2,,21
Egypt (A.R.E.),,3,19,,22
El Salvador,2,1,,,3
France,1,11,8,,20
Georgia (C.I.S.),,1,1,,2
Germany,4,,2,,6
Ghana,1,1,3,,5
Greece,,2,8,,10
Guatemala,34,2,,,36
Honduras,8,1,3,,12
Hong Kong,4,3,2,,9
Hungary,,2,,,2
Iceland,,,1,,1
