Summer 2001,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"AG & Life         TOXI
Science              WFSC WISC
Subtotal
Architecture      ARCH
COMG COSC COSL ENDL ENDS LADE LAND LANL LDEV URPL URSC VIZA
Subtotal
Business            ACCT
Admin               AGBU BUAD BUAG FINC INFO MGMT MISY MKTG MLER",,"151
2397
109
74
115
177
5
23
503
380
4
322
0
331
317
215
501","0.7%
6.1%
-27.8%
25.4%
35.3%
-15.7%
-72.2%
109.1%
-5.8%
-14.6%
33.3%
-29.1%
-100.0%
-6.5%
-19.5%
-20.7%
5.3%","67
3
452
81
20
1
10
13
7
2
26
160
79
103
92
7
59
27
19","13.6%
100.0%
2.5%
32.8%
0.0%
-66.7%
-41.2%
-18.8%
-22.2%
100.0%
-16.1%
1.9%
-8.1%
27.2%
7.0%
-75.9%
37.2%
107.7%
-5.0%","1
39
3
377
17
21
38
16
6
13
24
9","0.0%
-4.9%
-40.0%
-1.0%
30.8%
0.0%
11.8%
-11.1%
-14.3%
-18.8%
-7.7%
-18.2%",,,"1
257
6
3226
98
20
109
74
115
177
1
15
23
13
7
23
26
701
475
4
425
0
429
330
246
59
537
19","0.0%
2.8%
20.0%",
,,,,,,,,,,,4.7%,
,,,,,,,,,,,32.4%,
,,,,,,,,,,,0.0%,
,,,,,,,,,,,-27.8%,
,,,,,,,,,,,25.4%,
,,,,,,,,,,,35.3%,
,,,,,,,,,,,-15.7%,
,,,,,,,,,,,-66.7%,
,,,,,,,,,,,-57.1%,
,,,,,,,,,,,109.1%,
,,,,,,,,,,,-18.8%,
,,,,,,,,,,,-22.2%,
,,,,,,,,,,,9.5%,
,,,,,,,,,,,-16.1%,
,,,,,,,,,,,-3.3%,
,,,,,,,,,,,-13.5%,
,,,,,,,,,,,33.3%,
,,,,,,,,,,,-20.6%,
,,,,,,,,,,,-100.0%,
,,,,,,,,,,,-4.0%,
,,,,,,,,,,,-19.5%,
,,,,,,,,,,,-24.5%,
,,,,,,,,,,,37.2%,
,,,,,,,,,,,7.4%,
,,,,,,,,,,,-5.0%,
,Subtotal,2070,-13.7%,386,7.8%,68,-12.8%,,,2524,-11.0%,
"Prepared by OISP, 09 Aug 01",,,,,,,,,,,,
