"Summer 2001
AG & Life                AGEC
Science                     AGED AGEN ANSC BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture    ARCH COSC LAUP
Subtotal
Business Admin       ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education        CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering              AERO CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
Geosciences              ATMO GEOG GEPL OCNG
Subtotal
G. Bush School        BUSH of Govt                     Subtotal",White,,,,Black,,,,Hispanic,,,,Asian,,,,American Indian,,,,International,,,,Unknown/Other,,,,Total,,,,"Total
482
531
162
529
261
208
54
33
104
116
82
86
178
135
265
3226
416
203
82
701
475
429
448
389
246
537
2524
2
322
235
700
998
2257
215
319
66
614
521
636
532
374
623
87
131
4118
86
95
121
64
366
44
44",
,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,,
,,228,,169,,1,,,,12,,5,,2,,3,,2,,,,37,,13,,5,,5,,287,,195,,
,,240,,236,,14,,5,,15,,8,,3,,2,,,,1,,2,,,,3,,2,,277,,254,,
,,102,,22,,1,,2,,10,,7,,2,,1,,1,,,,8,,5,,1,,,,125,,37,,
,,139,,299,,2,,3,,8,,27,,3,,10,,,,1,,17,,17,,,,3,,169,,360,,
,,75,,97,,2,,5,,9,,11,,7,,7,,,,1,,25,,16,,4,,2,,122,,139,,
,,70,,83,,21,,8,,7,,12,,,,1,,1,,,,1,,2,,1,,1,,101,,107,,
,,21,,16,,,,,,2,,2,,2,,2,,,,,,3,,6,,,,,,28,,26,,
,,19,,5,,,,,,,,,,,,,,,,,,6,,2,,1,,,,26,,7,,
,,23,,57,,,,,,1,,2,,1,,,,,,,,13,,5,,1,,1,,39,,65,,
,,42,,27,,6,,3,,9,,6,,,,,,1,,,,11,,9,,1,,1,,70,,46,,
,,36,,21,,,,,,13,,1,,,,,,1,,,,3,,6,,1,,,,54,,28,,
,,52,,19,,,,,,2,,2,,2,,1,,2,,,,5,,1,,,,,,63,,23,,
,,70,,87,,3,,,,4,,3,,,,,,1,,,,5,,2,,1,,2,,84,,94,,
,,74,,16,,,,,,3,,1,,,,,,,,,,28,,10,,3,,,,108,,27,,
,,123,,94,,1,,1,,8,,12,,2,,4,,1,,,,9,,6,,2,,2,,146,,119,,
,,1314,,1248,,51,,27,,103,,99,,24,,31,,10,,3,,173,,100,,24,,19,,1699,,1527,,
,,150,,141,,3,,2,,21,,11,,8,,8,,3,,,,27,,35,,1,,6,,213,,203,,
,,150,,13,,1,,,,14,,5,,2,,,,1,,,,9,,4,,4,,,,181,,22,,
,,31,,24,,,,2,,2,,2,,,,,,,,,,10,,10,,1,,,,44,,38,,
,,331,,178,,4,,4,,37,,18,,10,,8,,4,,,,46,,49,,6,,6,,438,,263,,
,,159,,252,,,,8,,5,,15,,3,,7,,2,,1,,7,,8,,4,,4,,180,,295,,
,,187,,147,,4,,4,,14,,13,,5,,8,,1,,,,35,,7,,4,,,,250,,179,,
,,225,,157,,3,,2,,18,,8,,3,,5,,,,,,8,,17,,,,2,,257,,191,,
,,171,,133,,1,,9,,11,,11,,9,,9,,,,,,19,,9,,3,,4,,214,,175,,
,,101,,94,,,,2,,14,,7,,2,,3,,2,,,,10,,6,,3,,2,,132,,114,,
,,135,,339,,,,6,,9,,22,,2,,3,,1,,,,6,,6,,2,,6,,155,,382,,
,,978,,1122,,8,,31,,71,,76,,24,,35,,6,,1,,85,,53,,16,,18,,1188,,1336,,
,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,104,,130,,9,,19,,12,,21,,,,2,,2,,,,4,,13,,4,,2,,135,,187,,
,,34,,126,,,,9,,7,,30,,,,2,,,,2,,2,,17,,,,6,,43,,192,,
,,217,,368,,10,,18,,30,,30,,2,,4,,,,1,,6,,3,,6,,5,,271,,429,,
,,53,,770,,7,,44,,11,,77,,2,,3,,,,7,,,,13,,2,,9,,75,,923,,
,,408,,1395,,26,,91,,60,,158,,4,,11,,2,,10,,12,,46,,12,,22,,524,,1733,,
,,96,,35,,,,,,11,,8,,2,,2,,,,,,54,,5,,2,,,,165,,50,,
,,108,,58,,2,,3,,10,,9,,17,,17,,1,,,,69,,16,,7,,2,,214,,105,,
,,18,,12,,2,,5,,11,,5,,1,,3,,,,,,7,,1,,1,,,,40,,26,,
,,268,,46,,6,,8,,25,,7,,50,,13,,1,,,,129,,55,,4,,2,,483,,131,,
,,266,,57,,9,,5,,30,,11,,9,,3,,1,,,,102,,20,,6,,2,,423,,98,,
,,218,,31,,8,,5,,33,,5,,45,,11,,5,,,,240,,33,,2,,,,551,,85,,
,,340,,60,,14,,10,,51,,11,,21,,3,,4,,,,10,,4,,4,,,,444,,88,,
,,98,,58,,2,,2,,14,,8,,14,,11,,,,,,136,,27,,1,,3,,265,,109,,
,,325,,50,,5,,2,,28,,4,,21,,4,,,,,,170,,8,,6,,,,555,,68,,
,,36,,6,,1,,2,,6,,5,,1,,2,,,,,,17,,9,,2,,,,63,,24,,
,,27,,3,,,,,,4,,2,,2,,,,,,,,83,,10,,,,,,116,,15,,
,,1800,,416,,49,,42,,223,,75,,183,,69,,12,,,,1017,,188,,35,,9,,3319,,799,,
,,42,,24,,,,,,,,1,,,,1,,,,,,11,,4,,3,,,,56,,30,,
,,55,,26,,3,,,,4,,2,,1,,1,,1,,,,2,,,,,,,,66,,29,,
,,42,,29,,,,,,3,,3,,2,,1,,1,,1,,30,,7,,,,2,,78,,43,,
,,22,,14,,,,,,,,1,,1,,,,,,,,15,,10,,1,,,,39,,25,,
,,161,,93,,3,,,,7,,7,,4,,3,,2,,1,,58,,21,,4,,2,,239,,127,,
,,23,,15,,1,,,,,,4,,,,,,,,,,1,,,,,,,,25,,19,,
,,23,,15,,1,,,,,,4,,,,,,,,,,1,,,,,,,,25,,19,,
"Prepared by OISP, 09 Aug 01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
