Top 10,,,,,,,,,
Summer 2001 Feeder Patterns Main Campus,,,,,,,,,
Texas County   Students  % Total,,,,,,,,,
Harris,,2772,,,14.9%,,,,
Brazos,,1441,,,7.7%,,,,
Dallas,,854,,,4.6%,,,,
Bexar,,818,,,4.4%,,,,
Tarrant,,710,,,3.8%,,,,
Fort Bend,,433,,,2.3%,,,,
Travis,,389,,,2.1%,,,,
Montgomery,,388,,,2.1%,,,,
Collin,,378,,,2.0%,,,,
Brazoria,,255,,,1.4%,,,,
State,Students  % Total,,,,,,,,
Texas,15043,,,80.7%,,,,,
Louisiana,171,,,0.9%,,,,,
California,141,,,0.8%,,,,,
Florida,62,,,0.3%,,,,,
Illinois,61,,,0.3%,,,,,
Oklahoma,51,,,0.3%,,,,,
New Mexico,51,,,0.3%,,,,,
New York,51,,,0.3%,,,,,
Arkansas,46,,,0.2%,,,,,
Pennsylvania,45,,,0.2%,,,,,
Country,,,Students  % Total,,,,,,
United States,,,16401,,,,88.0%,,
India,,,457,,,,2.5%,,
"China, People's Rep of",,,414,,,,2.2%,,
"Korea, Republic of",,,359,,,,1.9%,,
Mexico,,,102,,,,0.5%,,
Indonesia,,,78,,,,0.4%,,
Taiwan,,,60,,,,0.3%,,
Turkey,,,51,,,,0.3%,,
Guatemala,,,36,,,,0.2%,,
Canada,,,35,,,,0.2%,,
