"Summer 2001
Engineering      SENG
Subtotal
Geosciences      ATMO
ESCI GEOG GEOL GEOP GEOS METR OCNG
Subtotal
G. Bush             BUSH
School of           PADM
Govt                  Subtotal
Liberal Arts       ANTH
ECOL ECON ENGL FREN GERM HIST INTS JOUL JOUR MODL PHIL POLS PSYC RUSS SCOM SOCI SPAN STJR THAR",,Undergraduate,,,Masters,,,PhD,,,Professional,,Total,,,
,,#,,% chg,#,,% chg,#,,% chg,#,% chg,#,,% chg,
,,,,,,6,20.0%,,,,,,,6,20.0%,
,,,2783,1.1%,,792,1.8%,,543,4.0%,,,,4118,1.6%,
,,,,,,32,357.1%,,8,300.0%,,,,40,344.4%,
,,,7,40.0%,,,,,,,,,,7,40.0%,
,,,76,-8.4%,,10,-37.5%,,8,33.3%,,,,94,-10.5%,
,,,38,-9.5%,,29,26.1%,,15,0.0%,,,,82,2.5%,
,,,4,-50.0%,,13,225.0%,,13,-23.5%,,,,30,3.4%,
,,,,,,3,200.0%,,,,,,,3,200.0%,
,,,39,-4.9%,,3,-88.9%,,4,-60.0%,,,,46,-41.0%,
,,,,,,38,26.7%,,26,-13.3%,,,,64,6.7%,
,,,164,-8.4%,,128,18.5%,,74,-7.5%,,,,366,-0.3%,
,,,,,,43,38.7%,,,,,,,43,"38.7%
0.0%",
,,,,,,1,0.0%,,,,,,,1,,
,,,,,,44,37.5%,,,,,,,44,37.5%,
,,,47,23.7%,,30,50.0%,,11,37.5%,,,,88,33.3%,
,,,0,-100.0%,,,,,,,,,,0,-100.0%,
,,,258,14.2%,,6,-45.5%,,18,-30.8%,,,,282,7.2%,
,,,226,-2.6%,,26,30.0%,,37,-21.3%,,,,289,-3.3%,
,,,4,100.0%,,,,,,,,,,4,100.0%,
,,,6,100.0%,,,,,,,,,,6,100.0%,
,,,205,13.9%,,6,-57.1%,,15,25.0%,,,,226,9.7%,
,,,100,4.2%,,,,,,,,,,100,4.2%,
,,,2,100.0%,,,,,,,,,,2,100.0%,
,,,354,10.6%,,0,-100.0%,,,,,,,354,10.3%,
,,,,,,3,50.0%,,,,,,,3,50.0%,
,,,29,31.8%,,6,0.0%,,,,,,,35,25.0%,
,,,355,26.3%,,5,0.0%,,27,-20.6%,,,,387,20.9%,
,,,525,11.2%,,24,-17.2%,,41,0.0%,,,,590,8.9%,
,,,3,50.0%,,,,,,,,,,3,50.0%,
,,,253,7.2%,,10,42.9%,,12,50.0%,,,,275,9.6%,
,,,116,-15.9%,,12,-14.3%,,12,-14.3%,,,,140,-15.7%,
,,,27,-12.9%,,,,,,,,,,27,-12.9%,
,,,,,,14,27.3%,,,,,,,14,27.3%,
,,,17,-5.6%,,,,,,,,,,17,-5.6%,
,Subtotal,2527,,10.0%,142,,1.4%,173,,-8.9%,,,2842,,8.1%,
"Prepared by OISP, 09 Aug 01",,,,,,,,,,,,,,,,
