Country,Undergraduate,Masters,PhD,Professional,Total Students
India,15,387,55,,457
Indonesia,24,32,22,,78
Iran,1,5,10,,16
Israel,,1,1,,2
Italy,1,1,3,,5
Jamaica,,,1,,1
Japan,5,2,7,,14
Jordan,4,2,6,,12
Kazakhstan,,1,2,,3
Kenya,,,1,,1
"Korea, Republic of",7,109,243,,359
Kuwait,1,3,2,,6
Lebanon,1,1,2,,4
Malaysia,,1,7,,8
Mauritius,,,1,,1
Mexico,12,39,51,,102
Morocco,,2,2,,4
Netherlands,,2,2,,4
Nicaragua,8,1,2,,11
Nigeria,8,7,4,,19
Norway,1,2,1,,4
Oman,2,1,,,3
Other Foreign,1,2,1,,4
Pakistan,2,15,4,,21
Panama,11,2,,,13
Paraguay,,3,,,3
Peru,1,9,2,,12
Philippines,,4,4,,8
Portugal,1,2,2,,5
Romania,,7,8,,15
Russia,4,13,15,,32
Saudi Arabia,,5,11,,16
Serbia,,2,1,,3
Singapore,6,2,5,,13
South Africa,2,,,,2
Spain,4,,,,4
Sri Lanka (Ceylon),1,3,2,,6
