Summer 2001,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,2527,10.0%,142,1.4%,173,-8.9%,,,2842,8.1%,
Gender,Male,974,12.3%,63,-6.0%,100,-6.5%,,,1137,9.2%,
,Female,1553,8.5%,79,8.2%,73,-12.0%,,,1705,7.4%,
Ethnic Origin,White,2042,11.0%,98,5.4%,115,-17.3%,,,2255,8.8%,
,Black,66,-9.6%,2,-60.0%,2,100.0%,,,70,-11.4%,
,Hispanic,284,0.0%,12,33.3%,14,27.3%,,,310,2.0%,
,Asian,69,50.0%,5,0.0%,6,100.0%,,,80,48.1%,
,American Indian,17,41.7%,1,0.0%,1,0.0%,,,19,35.7%,
,International,9,-50.0%,21,-4.5%,31,-6.1%,,,61,-16.4%,
,Unknown/Other,40,60.0%,3,-40.0%,4,100.0%,,,47,46.9%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,1233,18.4%,0,-100.0%,,,,,1233,18.3%,
,,,,,,,,,,,,
,22-25,1190,5.1%,63,37.0%,7,-30.0%,,,1260,6.1%,
,26-30,67,-18.3%,40,-20.0%,75,-14.8%,,,182,-17.3%,
,31-39,25,-16.7%,25,-13.8%,60,1.7%,,,110,-6.8%,
,40+,12,-7.7%,14,0.0%,31,-6.1%,,,57,-5.0%,
Enrollment,1st Time in College,8,33.3%,,,,,,,8,33.3%,
Status,1st Time PB,1,100.0%,,,,,,,1,100.0%,
,,,,,,,,,,,,
,1st Time Graduate,,,1,-75.0%,2,-50.0%,,,3,-62.5%,
,1st Time Transfer,47,-11.3%,,,,,,,47,-11.3%,
,Re Admitted,42,5.0%,,,,,,,42,5.0%,
,Continuing,2429,10.5%,141,3.7%,171,-8.1%,,,2741,8.7%,
Tuition Status,Resident Tuition,2423,10.2%,74,2.8%,71,-16.5%,,,2568,9.0%,
,Non-Resident Tuition,55,0.0%,17,-5.6%,24,71.4%,,,96,10.3%,
,Tuition Exemption/Waiver,49,11.4%,51,2.0%,78,-14.3%,,,178,-3.8%,
Residency,Texas Resident,2426,10.3%,74,2.8%,71,-17.4%,,,2571,9.0%,
Status,"Non-TX, US Resident",92,16.5%,47,2.2%,71,0.0%,,,210,7.1%,
,"Non-TX, Non-US Resident",9,-52.6%,21,-4.5%,31,-6.1%,,,61,-17.6%,
SCH,< 6 SCH,520,3.8%,67,0.0%,82,-19.6%,,,669,-0.1%,
Categories,6-8 SCH,1069,11.5%,62,-1.6%,86,3.6%,,,1217,10.1%,
,,,,,,,,,,,,
,9-11 SCH,497,21.2%,11,83.3%,3,-25.0%,,,511,21.7%,
,12-14 SCH,405,6.9%,2,-50.0%,2,100.0%,,,409,6.5%,
,15-17 SCH,28,-31.7%,,,,,,,28,-31.7%,
,>17 SCH,8,0.0%,,,,,,,8,0.0%,
Ft/Pt:  TAMU,Less Than Half Time,49,100.0%,28,100.0%,36,100.0%,,,113,100.0%,
Status,Half-Time,635,100.0%,8,100.0%,16,100.0%,,,659,100.0%,
,,,,,,,,,,,,
,Full-Time,1843,100.0%,106,100.0%,121,100.0%,,,2070,100.0%,
"Prepared by OISP, 09 Aug 01",,,,,,,,,,,,
