Summer 2001,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,2783,1.1%,792,1.8%,543,4.0%,,,4118,1.6%,
Gender,Male,2199,1.7%,648,4.5%,472,5.1%,,,3319,2.7%,
,Female,584,-1.2%,144,-8.9%,71,-2.7%,,,799,-2.8%,
Ethnic Origin,White,1992,2.3%,147,-16.0%,77,-28.7%,,,2216,-0.6%,
,Black,80,-15.8%,5,150.0%,6,20.0%,,,91,-10.8%,
,Hispanic,277,-8.9%,15,-37.5%,6,-14.3%,,,298,-11.0%,
,Asian,234,7.8%,14,-26.3%,4,-50.0%,,,252,3.3%,
,American Indian,12,20.0%,,,,,,,12,20.0%,
,International,146,4.3%,610,9.5%,449,14.2%,,,1205,10.6%,
,Unknown/Other,42,5.0%,1,0.0%,1,0.0%,,,44,4.8%,
TAMU Age,<18,4,100.0%,,,,,,,4,100.0%,
Categories,18-21,1302,-1.4%,1,-50.0%,,,,,1303,-1.5%,
,,,,,,,,,,,,
,22-25,1287,4.4%,458,8.3%,32,18.5%,,,1777,5.6%,
,26-30,119,-6.3%,246,-3.9%,245,-1.2%,,,610,-3.3%,
,31-39,53,-8.6%,79,-7.1%,235,8.8%,,,367,2.2%,
,40+,18,50.0%,8,-33.3%,31,0.0%,,,57,3.6%,
Enrollment,1st Time in College,106,-4.5%,,,,,,,106,-4.5%,
Status,1st Time PB,3,200.0%,,,,,,,3,200.0%,
,,,,,,,,,,,,
,1st Time Graduate,,,34,0.0%,7,-46.2%,,,41,-12.8%,
,1st Time Transfer,73,5.8%,,,,,,,73,5.8%,
,Re Admitted,20,-20.0%,,,1,100.0%,,,21,-16.0%,
,Continuing,2581,1.3%,758,1.9%,535,5.1%,,,3874,1.9%,
Tuition Status,Resident Tuition,2508,2.0%,132,-14.8%,49,-25.8%,,,2689,0.4%,
,Non-Resident Tuition,166,-11.2%,191,-4.0%,96,-5.9%,,,453,-7.2%,
,Tuition Exemption/Waiver,109,0.9%,469,10.6%,398,12.4%,,,976,10.2%,
Residency,Texas Resident,2513,2.2%,132,-14.8%,50,-25.4%,,,2695,0.5%,
Status,"Non-TX, US Resident",122,-17.0%,50,-23.1%,43,-29.5%,,,215,-21.2%,
,"Non-TX, Non-US Resident",148,1.4%,610,9.3%,450,14.2%,,,1208,10.0%,
SCH,< 6 SCH,913,-9.6%,230,-5.0%,105,-0.9%,,,1248,-8.1%,
Categories,6-8 SCH,1205,4.8%,522,2.8%,422,6.6%,,,2149,4.6%,
,,,,,,,,,,,,
,9-11 SCH,507,8.3%,39,69.6%,13,-31.6%,,,559,9.6%,
,12-14 SCH,154,31.6%,1,-75.0%,1,0.0%,,,156,27.9%,
,15-17 SCH,4,-50.0%,0,-100.0%,,,,,4,-55.6%,
,>17 SCH,,,,,2,100.0%,,,2,100.0%,
Ft/Pt:  TAMU,Less Than Half Time,190,100.0%,130,100.0%,78,100.0%,,,398,100.0%,
Status,Half-Time,914,100.0%,57,100.0%,14,100.0%,,,985,100.0%,
,,,,,,,,,,,,
,Full-Time,1679,100.0%,605,100.0%,451,100.0%,,,2735,100.0%,
"Prepared by OISP, 09 Aug 01",,,,,,,,,,,,
