,,LD SCH,UD SCH,MS SCH,PhD SCH,Total SCH,Excess UD SCH,"SCH
Excess PhD","SCH
Non-Funded Courses",Funded SCH
AG & Life Science,AGEC,408,"1,316",97,153,"1,974",0,16,0,"1,958"
,AGED,131,"1,877",195,98,"2,301",0,4,0,"2,297"
,AGEN,270,84,73,27,454,0,0,0,454
,ANSC,391,750,410,188,"1,739",0,7,0,"1,732"
,BCBP,128,"1,157",131,390,"1,806",0,12,0,"1,794"
,ENTO,5,20,67,118,210,0,1,0,209
,FRSC,0,47,7,25,79,0,1,0,78
,HRSC,60,309,120,90,579,0,0,0,579
,PLPH,0,0,0,6,6,0,0,0,6
,PLPM,1,145,59,101,306,0,14,0,292
,POSC,231,160,63,59,513,0,4,0,509
,RLEM,6,75,91,58,230,0,1,0,229
,RPTS,138,512,36,20,706,0,1,0,705
,SCSC,148,573,145,255,"1,121",0,12,0,"1,109"
,WFSC,24,283,192,201,700,0,3,0,697
,Total - AG,"1,941","7,308","1,686","1,789","12,724",0,76,0,"12,648"
Architecture,ARCH,"1,839","1,223",321,61,"3,444",0,1,0,"3,443"
,COSC,348,776,40,0,"1,164",0,0,0,"1,164"
,LAUP,6,175,233,101,515,0,1,0,514
,Total - AR,"2,193","2,174",594,162,"5,123",0,2,0,"5,121"
Business Admin,ACCT,"1,515","1,342",180,78,"3,115",0,24,0,"3,091"
,CLBA,8,113,0,0,121,0,0,0,121
,FINC,6,"2,726",949,36,"3,717",0,3,0,"3,714"
,INFO,606,"2,685",297,49,"3,637",0,6,0,"3,631"
,MGMT,"1,120","3,301",509,114,"5,044",0,23,0,"5,021"
,MKTG,33,"3,682",393,44,"4,152",0,11,0,"4,141"
,Total - BA,"3,288","13,849","2,328",321,"19,786",0,67,0,"19,719"
Education,EAHR,0,6,556,"1,010","1,572",0,29,0,"1,543"
,EPSY,258,690,610,710,"2,268",0,6,0,"2,262"
,HLKN,"3,510","2,256",147,139,"6,052",0,15,0,"6,037"
,TLAC,60,"1,886","1,118",443,"3,507",0,5,0,"3,502"
,Total - ED,"3,828","4,838","2,431","2,302","13,399",0,55,0,"13,344"
Engineering,AERO,156,113,204,166,639,0,13,0,626
,CHEN,43,632,126,344,"1,145",0,26,0,"1,119"
,CLEN,54,0,0,6,60,0,0,0,60
,CPSC,384,"1,123",907,463,"2,877",0,26,0,"2,851"
,CVEN,372,"1,050",338,352,"2,112",0,15,0,"2,097"
,ELEN,626,717,437,694,"2,474",0,14,0,"2,460"
,ETID,691,"1,110",9,0,"1,810",0,0,0,"1,810"
,INEN,34,387,415,227,"1,063",0,11,0,"1,052"
,MEEN,494,964,623,326,"2,407",0,32,0,"2,375"
