"Summer 2001
G. Bush School       BUSH  of Govt                    Subtotal
Liberal Arts             ANTH CLLA ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SCOM SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies       GEST
Subtotal
Other                       SABX
SRPH
Subtotal
University               Total",Undergraduate,,,,,Masters,,,PhD,,,Professional,Total,
,"1st Time in College
1
1
2
1
3
8
3
1
4
6
6
138
138
280","1st Time PB
1
1
2
1
3
1
1
16","1st Time Transfer
3
6
4
2
5
2
3
13
6
3
47
6
1
7
7
7
6
6
342","Re Admitted
1
1
4
9
3
4
1
8
7
3
1
42
3
2
3
8
2
2
150","Continuin g
46
95
248
213
200
346
38
28
342
7
503
251
112
2429
351
69
71
29
520
695
695
366
366
21
21
12803",1st Time Graduate,Re Admitted,Continuin g,1st Time Graduate,Re Admitted,Continuin g,Continuing,,
,,,,,,2,6,42,1,1,11,134,44,
,,,,,,2,,42,,,,,44,
,,,,,,,,30,,,,,88,
,,,,,,,,,,,,,100,
,,,,,,1,,5,,,18,,282,
,,,,,,,,26,,,37,,289,
,,,,,,,,6,,,15,,226,
,,,,,,,,14,,,,,370,
,,,,,,,,3,,,,,43,
,,,,,,,,6,,,,,35,
,,,,,,,,5,,,27,,387,
,,,,,,,,,,,,,7,
,,,,,,,,24,,,41,,590,
,,,,,,,,10,,,11,,285,
,,,,,,,,12,1,,11,,140,
,,,,,,1,,141,2,,171,,2842,
,,,,,,1,,23,,,40,,429,
,,,,,,4,,65,,,125,,267,
,,,,,,3,,36,2,,40,,156,
,,,,,,2,,47,1,,58,,138,
,,,,,,6,,20,,,32,,58,
,,,,,,16,,191,3,1,295,,1048,
,,,,,,,,,,,,,845,
,,,,,,1,,7,,,22,,30,
,,,,,,1,,4,,,,,5,
,,,,,,1,,2,,,,,3,
,,,,,,1,,15,,,29,,45,
,,,,,,1,,7,,,25,,33,
,,,,,,5,,35,,,76,134,961,
,,,,,,,,,,,,,510,
,,,,,,,,,,,,,510,
,,,,,,,,,,,,,21,
,,,,,,,,19,,,,,19,
,,,,,,,,19,,,,,40,
,,,,,,303,,2484,26,3,2090,134,18637,
"Prepared by OISP, 09 Aug 01",,,,,,,,,,,,,,
