Summer 2001,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,,
"Engineering           AERL
AERO BMEL BMEN CECL CECN CEEL CEEN CHEL CHEN CPEN CPSC CPSL CVEL CVEN ELEL ELEN ENGR ENSM ENTC ENTL HLPH IDIL IDIS IHYG INEL INEN ITDE MEEL MEEN NUEL NUEN OCEL OCEN PETE PETL PREN RHEL RHEN SENG",,"21
75
12
42
23
73
24
41
25
83
6
130
39
28
209
38
112
3
1
149
23
1
55
113
1
12
31
3
45
280
10
20
9
20
13
14
12
1
1
2","13
22
7
28
4
8
3
2
11
47
21
13
15
38
6
20
1
1
12
2
14
32
3
19
3
10
40
2
2
2
1
2
8
1
3","1
2
1
2
1
2
2
1
1
7
3
2
6
5
3
1
2
3
1
1
2","1
2
1
3
3
2
1
1
2
3
9
1
1
1
2
2
3
4","3
8
4
5
4
5
4
2
8
10
6
7
23
11
13
28
4
8
11
5
5
11
17
2
4
1
3
11","2
6
5
1
1
3
6
5
1
4
5
2
3
4
1
4
2
2
4
1
1
1
2
5
2
2","2
4
6
4
22
3
16
4
13
14
10
2
6
9
17
18
2
1
1
3
21
1
2
1
1","2
2
7
4
1
4
3
14
7
2
3
1
5
2
1
1
1
4
1
3
1","1
1
1
1
1
3
3
1",,"54
16
1
12
2
7
1
68
45
102
6
2
81
2
194
6
1
1
2
1
5
115
5
1
169
14
19
82
1
2","5
11
2
1
16
7
49
3
1
14
27
3
1
1
2
14
8
8
5
10","1
1
3
1
1
6
1
2
3
1
2
1
1
1
1
5
2
1
1","1
1
1
1
1
1
1
2","25
140
16
69
35
115
38
69
35
179
51
260
62
42
330
64
342
3
1
212
32
2
70
130
1
23
156
8
60
495
12
41
9
42
96
20
27
1
2
4","15
35
15
48
12
12
4
6
18
87
7
86
21
22
62
11
58
1
1
30
4
1
20
34
6
39
4
12
56
2
12
3
11
13
2
20
1
6
2","40
175
31
117
47
127
42
75
53
266
58
346
83
64
392
75
400
4
2
242
36
3
90
164
1
29
195
12
72
551
14
53
12
53
109
22
47
2
8
6",
,Subtotal,1800,416,49,42,223,75,183,69,12,,1017,188,35,9,3319,799,4118,
Geosciences,ATMO,20,6,3,,2,2,1,1,1,1,8,3,3,2,31,9,40,
,ESCI,2,3,,,,,,,,,,,,,4,3,7,
,GEOG,55,25,,,4,,,,,,2,,,,66,28,94,
,GEOL,31,24,,,1,3,2,1,,,13,4,,,47,35,82,
,GEOP,9,1,,,,,,,1,,16,3,,,26,4,30,
,GEOS,,2,,,,,,,,,1,,,,1,2,3,
,METR,22,18,,,,1,,1,,,3,1,,,25,21,46,
,OCNG,22,14,,,,1,1,,,,15,10,1,,39,25,64,
,Subtotal,161,93,3,,7,7,4,3,2,1,58,21,4,2,239,127,366,
"Prepared by OISP, 09 Aug 01",,,,,,,,,,,,,,,,,,,
