Summer 2001,,Undergraduate,,,,,Masters,,,PhD,,,Professional,Total,
,,1st Time in College,1st Time PB,1st Time Transfer,Re Admitted,Continuin g,1st Time Graduate,Re Admitted,Continuin g,1st Time Graduate,Re Admitted,Continuin g,Continuing,,
"Engineering       AERL
AERO BMEL BMEN CECL CECN CEEL CEEN CHEL CHEN CPEN CPSC CPSL CVEL CVEN ELEL ELEN ENGR ENSM ENTC ENTL HLPH IDIL IDIS IHYG INEL INEN ITDE MEEL MEEN NUEL NUEN OCEL OCEN PETE PETL PREN RHEL RHEN SENG",,"18
7
6
6
7
12
8
11
3
12
1
1
14","1
2","4
2
9
3
1
12
1
9
1
5
6
8
8
1
1
1
1","1
1
1
2
6
3
2
1
2
1","17
98
22
74
41
124
26
75
43
175
167
69
44
248
51
184
241
25
81
162
18
75
51
326
12
22
11
24
13
19
33
2
8","4
1
6
8
1
2
6
5
1",,"45
22
2
29
41
110
79
84
1
2
3
1
91
3
149
16
12
63
5","1
1
1
1
1
1
1",1,"31
17
1
61
16
61
55
129
3
26
9
67
15
16
28",,"40
175
31
117
47
127
42
75
53
266
58
346
83
64
392
75
400
4
2
242
36
3
90
164
1
29
195
12
72
551
14
53
12
53
109
22
47
2
8
6",
,Subtotal,106,3,73,20,2581,34,,758,7,1,535,,4118,
Geosciences,ATMO,,1,1,,7,2,,30,,,8,,40,
,ESCI,,,,,,,,,,,,,7,
,GEOG,,,,,75,,,10,,,8,,94,
,GEOL,,,,,38,1,,28,,,15,,82,
,GEOP,,,,,4,,,13,,,13,,30,
,GEOS,,,,,,,,3,,,,,3,
,METR,,,1,,37,,,3,,,4,,46,
,OCNG,,,,,,,,38,,,26,,64,
,Subtotal,,1,2,,161,3,,125,,,74,,366,
"Prepared by OISP, 09 Aug 01",,,,,,,,,,,,,,,
