Summer 2001,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,,
Architecture,ARCH,25,9,1,1,3,1,2,3,1,1,25,28,1,2,57,41,98,
,COMG,6,,,,1,,,,,,9,4,,,16,4,20,
,COSC,84,8,,,8,2,2,,,,,,4,,99,10,109,
,COSL,60,5,1,,5,3,,,,,,,,,66,8,74,
,ENDL,43,57,,,4,2,3,2,1,,,,,,51,64,115,
,ENDS,69,71,2,1,13,7,2,3,1,,2,2,,4,89,88,177,
,LADE,,,,,,,,,,,,1,,,,1,1,
,LAND,4,8,,,1,,,,,,,1,1,,6,9,15,
,LANL,8,12,,,,2,,,,,,1,,,8,15,23,
,LDEV,6,2,,,,,,,,,3,2,,,9,4,13,
,URPL,,1,,1,,,,,,,2,3,,,2,5,7,
,URSC,13,1,,1,1,,,,,,5,2,,,19,4,23,
,VIZA,13,4,,,1,1,1,,1,,,5,,,16,10,26,
,Subtotal,331,178,4,4,37,18,10,8,4,,46,49,6,6,438,263,701,
Business,ACCT,159,252,,8,5,15,3,7,2,,7,8,4,4,180,295,475,
Admin,AGBU,2,2,,,,,,,,,,,,,2,2,4,
,BUAD,185,145,4,4,14,13,5,8,1,,35,7,4,,248,177,425,
,FINC,209,154,3,2,18,8,3,5,,,8,17,,2,241,188,429,
,INFO,150,116,,9,9,10,8,9,,,8,5,2,4,177,153,330,
,MGMT,101,94,,2,14,7,2,3,2,,10,6,3,2,132,114,246,
,MISY,21,17,1,,2,1,1,,,,11,4,1,,37,22,59,
,MKTG,135,339,,6,9,22,2,3,1,,6,6,2,6,155,382,537,
,MLER,16,3,,,,,,,,,,,,,16,3,19,
,Subtotal,978,1122,8,31,71,76,24,35,6,1,85,53,16,18,1188,1336,2524,
Education,CPSY,16,15,,1,1,3,,1,,,,1,,1,17,22,39,
,EDAD,66,80,6,17,8,14,,2,1,,,3,1,2,82,118,200,
,EDCI,38,137,6,34,9,27,1,2,,2,,13,1,3,55,218,273,
,EDHL,11,72,,8,3,11,,2,,,,,1,,15,93,108,
,EDIS,7,286,1,6,1,28,1,,,3,,,1,3,11,326,337,
,EDIT,1,2,,,,,,,,,,,,,1,2,3,
,EDKI,98,106,6,4,13,6,,,,,1,2,2,1,120,119,239,
,EDTC,4,19,,,,,,,,,,4,,,4,23,27,
,EHRD,36,48,3,2,4,7,,,1,,4,10,3,,51,67,118,
,EPSY,11,78,,5,1,22,,1,,2,1,12,,4,13,124,137,
,HEED,2,6,,1,,,,1,,,,,,1,2,9,11,
,HLTH,3,73,,3,4,6,1,,,,,,,1,8,83,91,
,IDTC,1,,,,,,,,,,,,,,1,,1,
,INST,8,343,,4,1,21,,1,,2,,,,2,9,373,382,
,KINE,98,108,4,2,8,6,,1,,1,5,1,3,2,118,121,239,
,PHED,5,3,,,2,1,1,,,,,,,,8,4,12,
,SPSY,3,15,,3,5,5,,,,,1,,,1,9,24,33,
,TECR,,4,,1,,1,,,,,,,,1,,7,7,
,Subtotal,408,1395,26,91,60,158,4,11,2,10,12,46,12,22,524,1733,2257,
"Prepared by OISP, 09 Aug 01",,,,,,,,,,,,,,,,,,,
