"Summer 2009
Agriculture              AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture   ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
7
1
4
14
1
1
2
2
1
2
3
15
1
6
28","Sophomore
1
1
2","Junior
1
1
2
1
2
3
2
1
3
1
1
1
3","Senior
1
1
1
3
1
1
1
1
1
1
1
3
1
1
1
1
4","PB
1
1","Total
1
1
1
7
1
4
1
1
1
1
19
2
2
3
1
2
6
3
2
1
6
2
3
3
1
15
1
6
1
2
2
2
38",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,,1,1,1,1,,,2,
,,,,,,,,,,,,,,2,
,,,,,,,,1,1,1,1,,,3,
,,,,,,,,,,1,1,,,8,
,,,,,,,,,,,,,,1,
,,,,,,,,2,2,,,,,6,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,,,,,2,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,,,,,2,
,,,,,,,,6,6,3,3,,,28,
,,,,,,,,,,,,,,2,
,,,,,,,,1,1,,,,,1,
,,,,,,,,1,1,,,,,1,
,,,,,,,,2,2,,,,,4,
,,,,,,,,2,2,1,1,,,3,
,,,,,,,,2,2,,,,,5,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,2,
,,,,,,,,4,4,1,1,,,11,
,,,,,,,,,,3,3,,,6,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,2,2,,,4,
,,,,,,,,,,,,,,1,
,,,,,,,,,,6,6,,,12,
,,,,,,,,1,1,,,,,3,
,,,,,,,,1,1,,,,,4,
,,,,,,,,,,1,1,,,4,
,,,,,,,,,,,,,,1,
,,,,,,,,,,2,2,,,17,
,,,,,,,,1,1,,,,,2,
,,,,,,,,,,,,,,6,
,,,,,,,,,,,,,,1,
,,,,,,,,,,1,1,,,3,
,,,,,,,,,,,,,,2,
,,,,,,,,1,1,,,,,3,
,,,,,,,,4,4,4,4,,,46,
"Prepared by OISP, 08 Sep 09",,,,,,,,,,,,,,,
