Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Paraguay,,,1,,1,
Peru,,3,8,,11,
Philippines,2,7,2,,11,
Poland,1,1,2,,4,
Qatar,6,,,,6,
Romania,,2,1,,3,
Russia,2,2,4,,8,
Rwanda,,,1,,1,
Saudi Arabia,10,19,8,,37,
Serbia,,2,1,,3,
Singapore,2,1,2,,5,
Slovakia,,1,,,1,
South Africa,2,1,1,,4,
Spain,,3,1,,4,
Sri Lanka (Ceylon),2,5,4,,11,
St. Lucia,,1,,,1,
Sudan,1,,1,,2,
Sweden,,,1,,1,
Switzerland,,1,,,1,
Taiwan,1,48,80,,129,
Tanzania,,1,,,1,
Thailand,,10,10,,20,
Togo,,,1,,1,
Trinidad & Tobago,2,2,1,,5,
Tunisia,,2,1,,3,
Turkey,,18,36,,54,
Uganda,,,1,,1,
Ukraine,,2,3,,5,
United Arab Emirates,3,2,,,5,
United Kingdom,2,,6,,8,
United States,"12,011","2,057","1,316",142,"15,526",
Uzbekistan,,,3,,3,
Venezuela,2,6,5,,13,
Viet Nam Socialist Republic,6,6,10,,22,
Zambia,1,,,,1,
Zimbabwe (Rhodesia),,,1,,1,
