"Summer 2009
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies       GEST
Subtotal
Other - Special        CLMD Populations              MARA
MARB SRPH
Subtotal
University                Total",Undergraduate,,,,,Masters,,,,PhD,,,Professional,,Total,
,"1st Time in College
1
2
1
1
5
1
1
2
2
2
323
323
387","1st Time PB
2","1st Time Transfer
1
5
4
1
3
1
4
3
22
2
1
1
4
142","Readmitted
1
2
3
4
4
1
2
1
1
5
3
4
31
1
1
2
2
5
5
93","Continuing
44
178
328
186
192
8
37
233
26
276
17
410
145
2,080
354
76
6
77
41
554
409
409
575
575
1
1
2
11,638",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Readmitted,Continuing,,
,,,,,,1,1,2,11,1,4,10,1,141,67,
,,,,,,,,,,,,,,,182,
,,,,,,,,,12,,,24,,,374,
,,,,,,,,,18,,,27,,,239,
,,,,,,,,,10,1,,37,,,246,
,,,,,,,,,,,,,,,9,
,,,,,,,,,8,,,8,,,56,
,,,,,,,3,,6,,,8,,,255,
,,,,,,,,,4,,,5,,,37,
,,,,,,1,12,,6,1,,35,,,341,
,,,,,,,,,,,,,,,17,
,,,,,,,1,,28,1,,40,,,486,
,,,,,,,,,15,1,,37,,,202,
,,,,,,2,17,,118,5,,231,,,"2,511",
,,,,,,,,,23,,,61,,,442,
,,,,,,,,,121,,,104,,,302,
,,,,,,,,,,,,,,,6,
,,,,,,,1,,39,,,57,,,174,
,,,,,,,1,,34,,,79,,,157,
,,,,,,11,9,,46,2,,45,,,113,
,,,,,,11,11,,263,2,,346,,,"1,194",
,,,,,,1,3,,4,,,2,,,565,
,,,,,,,1,,15,,,24,,,40,
,,,,,,,,,3,,,,,,3,
,,,,,,,,,5,,,3,,,8,
,,,,,,,,,15,,,23,,,38,
,,,,,,1,1,,10,1,,14,,,27,
,,,,,,2,5,,52,1,,66,1,141,681,
,,,,,,,,,,,,,,,903,
,,,,,,,,,,,,,,,903,
,,,,,,,,,2,,,,,,2,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,1,
,,,,,,1,,,1,,,,,,2,
,,,,,,1,,,3,,,,,,6,
,,,,,,62,359,,"2,661",68,,"2,338",1,141,"17,898",
"Prepared by OISP, 08 Sep 09",,,,,,,,,,,,,,,,
