Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Afghanistan,1,1,,,2,
Albania,,,1,,1,
Angola,8,,,,8,
Antigua and Barbuda,,,1,,1,
Armenia,,,1,,1,
Australia,2,,,,2,
Austria,,,1,,1,
Azerbaijan,,2,,,2,
"Bahamas, The",,1,,,1,
Bahrain,,,1,,1,
Bangladesh,,7,4,,11,
Barbados,,1,1,,2,
Belarus,,,1,,1,
Belgium,,2,,,2,
Belize (British Honduras),1,1,,,2,
Bhutan,,1,,,1,
Bolivia,2,,2,,4,
Botswana,,,1,,1,
Brazil,2,10,11,,23,
Bulgaria,3,,3,,6,
Cambodia (Kampuchea),,,1,,1,
Cameroon,3,1,3,,7,
Canada,8,4,10,,22,
Cayman Islands,1,,,,1,
Chile,,,5,,5,
"China, People's Rep of",11,232,287,,530,
Colombia,1,19,22,,42,
Costa Rica,1,2,,,3,
Cote d'Ivoire (Ivory Coast),3,,,,3,
Croatia,1,,,,1,
Cyprus,1,,1,,2,
Dominica,,,1,,1,
Ecuador,1,3,6,,10,
Egypt (A.R.E.),2,4,17,,23,
El Salvador,5,,2,,7,
Equatorial Guinea,7,,,,7,
Eritrea,1,,,,1,
Estonia,1,,,,1,
Ethiopia,1,,4,,5,
France,,9,4,,13,
