Summer 2009,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Other -,AGBU,1,100.0%,0,-100.0%,0,-100.0%,,,0,-100.0%,
"Special
Populations",FSTC MARA,,,0,-100.0%,,,,,"0
1","-100.0%
100.0%",
,MARB,1,100.0%,,,,,,,1,100.0%,
,MDSC,,,2,-75.0%,,,,,2,-75.0%,
,PHLT,,,2,-80.0%,,,,,2,-80.0%,
,Subtotal,2,100.0%,4,-81.0%,0,-100.0%,,,6,-72.7%,
Total,,"12,262",-4.8%,"3,084",-0.9%,"2,410",-3.4%,142,5.2%,"17,898",-3.9%,
"Prepared by OISP, 08 Sep 09",,,,,,,,,,,,
