"Summer 2009
G. Bush School       BUSH of Govt                    Subtotal
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies       GEST
Subtotal Other - Special        CLMD Populations             MARA
MARB SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
3
3
4","Sophomore
1
2
3
3
3
9","Junior
1
1
1
2
1
2
1
7
1
1
28","Senior
1
1
2
1
1
1
1
4
4
4
1
1
36",PB,"Total
1
1
1
3
1
3
1
1
2
5
1
14
4
4
1
1
7
7
77",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,1,1,1,1,,,1,
,,,,,,,1,,1,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,1,
,,,,,,,,,1,,,,,3,
,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,1,1,,,16,
,,,,,,,,,,,,,,4,
,,,,,,,,1,1,2,2,,,3,
,,,,,,,,,,2,2,,,2,
,,,,,,,,1,1,4,4,,,9,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,7,
,,,,,,,,,,,,,,7,
,,,,,,,1,5,6,9,9,,,92,
"Prepared by OISP, 08 Sep 09",,,,,,,,,,,,,,,
