Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Gabon Republic,1,,,,1,
Georgia (C.I.S.),,1,,,1,
Germany,,6,8,,14,
Ghana,,6,,,6,
Greece,,1,1,,2,
Guatemala,3,2,5,,10,
Honduras,8,2,,,10,
Hong Kong,5,2,1,,8,
Hungary,1,,,,1,
India,29,357,174,,560,
Indonesia,6,14,7,,27,
Iran,,31,30,,61,
Iraq,2,1,,,3,
Italy,1,3,3,,7,
Jamaica,1,4,2,,7,
Japan,2,5,11,,18,
Jordan,1,6,1,,8,
Kazakhstan,13,4,1,,18,
Kenya,,6,1,,7,
"Korea, Republic of",9,62,181,,252,
Kuwait,1,,2,,3,
Latvia,1,,,,1,
Lebanon,1,4,5,,10,
Macao,1,,,,1,
Macedonia,,,2,,2,
Malaysia,8,1,4,,13,
Mauritius,,1,,,1,
Mexico,17,17,43,,77,
Mongolia,,2,1,,3,
Morocco,,,1,,1,
Nepal,9,7,5,,21,
Netherlands,,1,,,1,
New Zealand,,4,,,4,
Nicaragua,3,,,,3,
Nigeria,7,14,5,,26,
Norway,,,1,,1,
Oman,,,1,,1,
Other Foreign or US,1,,,,1,
Pakistan,2,11,8,,21,
Panama,6,6,3,,15,
Page 74,,,,,,
