"Summer 2009
Agriculture              AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture   ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
1
1
1
1
1
1
3
1
2
1
2
2
13","Sophomore
1
1
1
1
2
1
1
1
1
1
5
4
1
3
1
1
1
4
21","Junior
1
1
1
3
1
1
2
2
1
5
1
3
4
2
7
1
3
8
3
6
1
6
37","Senior
2
2
1
1
1
1
1
9
2
2
4
3
2
2
7
1
1
2
3
6
17
1
2
12
5
15
9
1
9
80","PB
1
1","Total
3
3
1
2
1
1
1
1
1
14
4
3
7
5
6
2
1
14
2
5
1
8
6
7
30
9
7
25
5
19
17
5
22
152",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,,17,17,43,43,,,63,
,,,,,,,,2,2,2,2,,,7,
,,,,,,,,7,7,7,7,,,15,
,,,,,,,,15,15,8,8,,,25,
,,,,,,,,7,7,31,31,,,39,
,,,,,,,,3,3,1,1,,,5,
,,,,,,,,1,1,8,8,,,9,
,,,,,,,,2,2,6,6,,,8,
,,,,,,,,5,5,13,13,,,19,
,,,,,,,,11,11,7,7,,,19,
,,,,,,,,8,8,7,7,,,15,
,,,,,,,,10,10,8,8,,,18,
,,,,,,,,1,1,8,8,,,10,
,,,,,,,,16,16,16,16,,,32,
,,,,,,,,2,2,13,13,,,15,
,,,,,,,,107,107,178,178,,,299,
,,,,,,,,22,22,14,14,,,40,
,,,,,,,,38,38,,,,,41,
,,,,,,,,28,28,9,9,,,37,
,,,,,,,,7,7,,,,,7,
,,,,,,,,95,95,23,23,,,125,
,,,,,,,,2,2,1,1,,,8,
,,,,,,,,9,9,,,,,15,
,,,,,,,,4,4,8,8,,,14,
,,,,,,,,25,25,1,1,,,26,
,,,,,,,,3,3,3,3,,,7,
,,,,,,,,5,5,8,8,,,13,
,,,,,,,,48,48,21,21,,,83,
,,,,,,,,7,7,9,9,,,18,
,,,,,,,,7,7,17,17,,,24,
,,,,,,,,3,3,14,14,,,22,
,,,,,,,,6,6,9,9,,,16,
,,,,,,,,23,23,49,49,,,80,
,,,,,,,,18,18,30,30,,,54,
,,,,,,,,8,8,17,17,,,32,
,,,,,,,,31,31,64,64,,,125,
,,,,,,,,57,57,47,47,,,113,
,,,,,,,,82,82,75,75,,,164,
,,,,,,,,118,118,98,98,,,241,
,,,,,,,,,,,,,,5,
,,,,,,,,56,56,27,27,,,102,
,,,,,,,,105,105,83,83,,,205,
,,,,,,,,8,8,8,8,,,21,
,,,,,,,,85,85,54,54,,,161,
,,,,,,,,568,568,503,503,,,"1,223",
"Prepared by OISP, 08 Sep 09",,,,,,,,,,,,,,,
