Summer 2009,,Undergraduate,,Masters,,PhD,Professional,Grand Total,,
,,Off-campus,Dorm (On-campus),Off-campus,Dorm (On-campus),Off-campus,Off-campus,Off-campus,Dorm (On-campus),
Head Count,Total,"11,912",350,"3,081",3,"2,410",142,"17,545",353,
Gender,Female,"5,781",164,"1,299",1,"1,007",108,"8,195",165,
,Male,"6,131",186,"1,782",2,"1,403",34,"9,350",188,
Ethnicity,White,"8,963",223,"1,625",2,915,124,"11,627",225,
,Black,464,24,82,,147,,693,24,
,Hispanic,"1,538",58,237,,175,10,"1,960",58,
,Asian,532,20,85,1,51,4,672,21,
,American Indian,73,4,6,,9,,88,4,
,International,227,19,"1,022",,"1,090",,"2,339",19,
,Unknown/Other,115,2,24,,23,4,166,2,
TAMU Age,<18,3,2,,,,,3,2,
Categories,18-21,"6,437",307,23,,,1,"6,461",307,
,22-25,"5,027",36,"1,670",2,184,59,"6,940",38,
,26-30,315,4,914,1,"1,039",66,"2,334",5,
,31-39,85,1,341,,862,14,"1,302",1,
,40+,45,,133,,325,2,505,,
College,Agriculture,"2,090",24,479,1,396,,"2,965",25,
,Architecture,517,6,186,1,36,,739,7,
,Business Admin,"1,536",13,380,,53,,"1,969",13,
,Education,"1,564",9,436,,497,,"2,497",9,
,Engineering,"2,204",86,918,1,687,,"3,809",87,
,G. Bush School of Govt,,,110,,,,110,,
,Geosciences,193,3,87,,90,,370,3,
,Liberal Arts,"2,112",26,137,,236,,"2,485",26,
,Science,539,22,285,,348,,"1,172",22,
,Veterinary Medicine,400,13,59,,67,142,668,13,
,General Studies,755,148,,,,,755,148,
,Other - Special Populations,2,,4,,,,6,,
Enrollment,1st Time in College,258,129,,,,,258,129,
Status,1st Time PB,2,,62,,,,64,,
,1st Time Graduate,,,358,1,68,,426,1,
,1st Time Transfer,138,4,,,,,138,4,
,Readmitted,92,1,2,,4,1,99,1,
,Continuing,"11,422",216,"2,659",2,"2,338",141,"16,560",218,
Tuition,Resident Tuition,"11,170",311,"1,636",1,877,129,"13,812",312,
Status,Non-Resident Tuition,385,18,337,1,183,5,910,19,
,Tuition Exemption/Waiver,357,21,"1,108",1,"1,350",8,"2,823",22,
Residency,Texas Resident,"11,240",310,"1,675",1,912,131,"13,958",311,
Status,"Non-TX, US Resident",442,19,380,1,404,11,"1,237",20,
,"Non-TX, Non-US Resident",230,21,"1,026",1,"1,094",,"2,350",22,
SCH,< 6 SCH,"4,263",42,"1,037",1,635,17,"5,952",43,
Categories,6-8 SCH,"4,892",235,"1,655",2,"1,706",125,"8,378",237,
,9-11 SCH,"1,665",44,254,,50,,"1,969",44,
,12-14 SCH,993,25,128,,17,,"1,138",25,
,15-17 SCH,81,1,6,,2,,89,1,
,>17 SCH,18,3,1,,,,19,3,
Ft/Pt:,Less Than Half Time,967,8,268,,324,2,"1,561",8,
"TAMU
Status",Half-Time,"4,274
45","64
1","317
4",,"111
5",1,"4,703
54","64
1",
,Full-Time,"6,626",277,"2,492",3,"1,970",139,"11,227",280,
"Prepared by OISP, 08 Sep 09",,,,,,,,,,
