Summer 2009,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Agriculture,AGBL,50,51.5%,1,100.0%,3,-40.0%,1,100.0%,1,-66.7%,1,100.0%,1,100.0%,55,44.7%,
,AGBU,68,-8.1%,,,12,300.0%,0,-100.0%,,,11,22.2%,,,93,6.9%,
,AGCJ,58,11.5%,3,100.0%,8,-11.1%,1,100.0%,,,,,,,70,14.8%,
,AGEC,174,1.8%,5,150.0%,17,41.7%,0,-100.0%,,,51,13.3%,1,100.0%,249,6.4%,
,AGED,44,-30.2%,6,-25.0%,7,250.0%,1,100.0%,,,2,-33.3%,,,60,-21.1%,
,AGEN,3,-76.9%,0,-100.0%,1,-66.7%,1,0.0%,,,0,-100.0%,,,5,-73.7%,
,AGLS,38,-69.6%,8,-70.4%,10,-54.5%,3,-25.0%,0,-100.0%,1,0.0%,0,-100.0%,60,-67.2%,
,AGRO,42,-6.7%,1,0.0%,4,-33.3%,3,200.0%,1,-50.0%,5,0.0%,1,100.0%,57,-5.0%,
,AGSC,49,36.1%,1,100.0%,1,-50.0%,,,,,,,,,51,34.2%,
,AGSM,38,-22.4%,1,0.0%,2,-80.0%,3,0.0%,,,,,,,44,-30.2%,
,ALEC,13,100.0%,,,1,100.0%,,,,,2,100.0%,,,16,100.0%,
,ALED,264,-20.5%,32,-27.3%,39,2.6%,4,0.0%,4,300.0%,3,50.0%,,,346,-17.8%,
,ANBR,4,0.0%,,,,,,,,,,,,,4,0.0%,
,ANSC,223,-20.4%,6,100.0%,28,12.0%,3,-25.0%,3,-25.0%,5,-16.7%,2,100.0%,270,-16.4%,
,BAEN,49,104.2%,2,100.0%,8,166.7%,3,-25.0%,1,100.0%,25,0.0%,,,88,54.4%,
,BESC,57,-12.3%,6,-40.0%,25,31.6%,9,28.6%,,,,,4,100.0%,101,-1.9%,
,BICH,77,8.5%,4,-20.0%,13,44.4%,7,-30.0%,,,31,-24.4%,2,-77.8%,134,-7.6%,
,BIOT,2,-33.3%,,,1,0.0%,,,,,16,6.7%,,,19,0.0%,
,BIPH,,,,,0,-100.0%,,,,,,,,,0,-100.0%,
,BSEN,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,CDEV,6,50.0%,,,,,,,,,,,1,100.0%,7,75.0%,
,DASC,4,100.0%,,,1,0.0%,,,,,0,-100.0%,,,5,25.0%,
,ECOR,5,66.7%,,,1,100.0%,,,,,,,,,6,100.0%,
,ENST,2,-66.7%,0,-100.0%,1,0.0%,,,,,,,,,3,-62.5%,
,ENTO,42,-19.2%,2,0.0%,16,14.3%,1,0.0%,1,0.0%,9,12.5%,8,14.3%,79,-7.1%,
,FISC,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,FIVL,5,400.0%,1,0.0%,1,0.0%,,,,,,,,,7,133.3%,
,FIVS,1,100.0%,,,,,,,,,,,,,1,100.0%,
,FLOR,1,0.0%,,,,,,,,,,,,,1,0.0%,
,FORS,9,-10.0%,1,0.0%,1,100.0%,,,,,5,25.0%,,,16,6.7%,
,FSTC,46,9.5%,0,-100.0%,11,0.0%,,,,,14,-26.3%,,,71,-4.1%,
,GENE,35,-7.9%,0,-100.0%,5,150.0%,2,-60.0%,0,-100.0%,9,-30.8%,1,0.0%,52,-14.8%,
,HORT,56,-20.0%,,,6,-45.5%,3,100.0%,1,100.0%,15,7.1%,,,81,-14.7%,
,MEPS,8,-11.1%,,,2,100.0%,,,,,11,10.0%,,,21,5.0%,
,NRDV,10,66.7%,,,1,100.0%,,,,,,,,,11,83.3%,
,NUSC,159,-3.0%,6,0.0%,40,-11.1%,8,-33.3%,2,100.0%,1,0.0%,1,100.0%,217,-4.8%,
,NUTR,22,46.7%,1,0.0%,2,100.0%,,,,,10,-23.1%,,,35,20.7%,
,PLBR,15,36.4%,2,100.0%,2,0.0%,1,100.0%,,,11,22.2%,,,31,34.8%,
,PLPA,6,-14.3%,,,4,0.0%,,,,,14,55.6%,2,0.0%,26,18.2%,
,POSC,40,-29.8%,2,0.0%,11,0.0%,,,1,0.0%,9,-10.0%,1,0.0%,64,-22.0%,
,PPRO,2,100.0%,,,,,,,,,,,,,2,100.0%,
,PREP,13,-18.8%,2,100.0%,,,,,,,2,-33.3%,,,17,-15.0%,
,PSSC,,,,,1,0.0%,,,,,,,,,1,0.0%,
,RENR,18,125.0%,,,2,100.0%,1,0.0%,,,,,,,21,110.0%,
,RLEM,43,-20.4%,1,0.0%,12,20.0%,,,,,1,-66.7%,,,57,-16.2%,
,RPTS,133,-4.3%,6,-25.0%,8,-50.0%,3,0.0%,0,-100.0%,10,-28.6%,1,0.0%,161,-11.5%,
,RRDV,1,100.0%,,,,,,,,,,,,,1,100.0%,
,SOSC,12,33.3%,,,2,0.0%,1,100.0%,,,8,60.0%,,,23,43.8%,
,SPSA,10,-47.4%,0,-100.0%,,,,,,,,,,,10,-50.0%,
"Prepared by OISP, 08 Sep 09",,,,,,,,,,,,,,,,,,
