"Summer 2009
Agriculture               AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture    ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin       ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education        CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering              AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School        BUSH of Govt                     Subtotal",White,,Black,,Hispanic,,Asian,,American Indian,,,International,,Unknown/Other,,Total,,"Total
397
605
319
141
177
80
88
111
87
301
135
78
171
127
173
2,990
211
43
338
118
36
746
527
376
467
152
185
275
1,982
3
515
274
958
756
2,506
277
162
367
6
316
604
476
300
318
612
150
308
3,896
110
110",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,Female,Male,Female,Male,Female,Male,,
,92,200,2,4,15,17,,1,,,1,22,41,2,,133,264,,
,230,250,14,35,25,34,3,3,,,4,4,3,,,276,329,,
,171,86,5,3,19,12,3,,3,,,8,7,2,,211,108,,
,17,76,1,2,4,8,4,3,1,,,5,20,,,32,109,,
,59,46,3,1,11,7,4,4,,,,16,23,2,1,95,82,,
,23,26,4,4,6,8,2,2,,,,3,2,,,38,42,,
,29,20,2,1,9,8,,1,1,,,4,5,6,2,51,37,,
,27,57,1,1,7,9,,1,,,,4,4,,,39,72,,
,30,28,,,4,2,1,2,,,1,12,7,,,47,40,,
,186,27,6,1,39,11,7,2,2,,,12,7,,1,252,49,,
,42,27,5,1,15,15,3,6,,,,7,8,1,5,73,62,,
,20,25,,2,7,4,,,1,,,11,7,,1,39,39,,
,76,66,3,3,4,4,,3,,,,6,4,1,1,90,81,,
,15,58,,3,6,7,1,3,,,1,11,21,,1,33,94,,
,64,52,4,1,14,15,3,1,2,,,9,6,2,,98,75,,
,"1,081","1,044",50,62,185,161,31,32,10,,7,134,165,16,12,"1,507","1,483",,
,63,70,1,1,10,14,5,7,,,,22,18,,,101,110,,
,10,20,1,1,3,4,,2,,,2,,,,,14,29,,
,35,223,1,,4,23,1,5,,,3,9,32,,2,50,288,,
,28,38,,2,3,4,2,2,,,1,16,21,1,,50,68,,
,4,15,,,1,5,1,2,,,,4,3,,1,10,26,,
,140,366,3,4,21,50,9,18,,,6,51,74,1,3,225,521,,
,234,183,12,4,20,24,17,18,4,,,6,2,,3,293,234,,
,145,155,9,5,12,13,5,11,1,,,6,9,1,4,179,197,,
,148,226,1,2,20,23,14,13,1,,4,5,9,,1,189,278,,
,38,55,3,,9,10,1,8,,,,9,17,2,,62,90,,
,78,68,4,3,14,5,4,2,,,,3,4,,,103,82,,
,171,52,3,1,20,5,7,1,2,,,8,5,,,211,64,,
,814,739,32,15,95,80,48,53,8,,4,37,46,3,8,"1,037",945,,
,1,1,,,,,,1,,,,,,,,1,2,,
,213,121,33,21,53,32,8,8,1,,1,12,6,5,1,325,190,,
,137,21,18,5,48,9,9,,1,,1,18,6,,1,231,43,,
,474,269,27,21,63,47,17,10,3,,1,9,13,1,3,594,364,,
,531,73,48,8,54,11,12,1,1,,,12,4,1,,659,97,,
,"1,356",485,126,55,218,99,46,20,6,,3,51,29,7,5,"1,810",696,,
,23,155,,6,3,25,2,6,,,,8,46,1,2,37,240,,
,43,51,1,,9,6,4,12,,,,11,21,3,1,71,91,,
,52,132,5,4,12,13,7,12,,,1,45,80,1,3,122,245,,
,1,3,1,,,,,,,,,,,,1,2,4,,
,7,128,4,5,5,23,2,11,,,1,19,94,9,8,46,270,,
,79,255,1,5,15,58,4,17,3,,1,29,135,2,,133,471,,
,16,127,3,18,4,36,1,23,,,1,41,200,2,4,67,409,,
,35,187,2,9,9,41,2,9,,,1,2,3,,,50,250,,
,32,112,2,4,17,34,1,11,,,2,25,77,,1,77,241,,
,38,277,4,9,6,48,4,17,,,1,38,167,,3,90,522,,
,13,90,,2,1,14,2,5,,,,2,19,,2,18,132,,
,15,82,2,9,5,13,5,13,,,,34,127,,3,61,247,,
,354,"1,599",25,71,86,311,34,136,3,,8,254,969,18,28,774,"3,122",,
,34,52,,2,1,10,1,2,,,1,3,3,,1,39,71,,
,34,52,,2,1,10,1,2,,,1,3,3,,1,39,71,,
"Prepared by OISP, 08 Sep 09",,,,,,,,,,,,,,,,,,,
