"Summer 2009
G. Bush School       BUSH of Govt                    Subtotal
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies       GEST
Subtotal Other - Special        CLMD Populations             MARA
MARB SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
2
7
5
3
2
1
8
1
3
4
1
35
14
3
4
6
27
9
9
248
248
437","Sophomore
3
8
5
16
2
14
25
9
15
3
24
2
16
2
24
2
138
30
3
4
3
40
38
38
267
267
1,003","Junior
10
6
17
12
45
15
52
118
63
57
4
7
63
6
81
3
121
37
627
78
12
3
20
6
119
106
106
96
96
3,311","Senior
11
12
26
44
93
19
60
131
77
76
3
10
105
11
109
6
159
56
822
105
30
1
33
9
178
132
132
1
1
1
1
2
4,417","PB
1
1
1
2
5
18","Total
22
21
51
62
156
36
133
280
152
150
8
21
200
20
210
11
310
96
1,627
227
48
4
61
24
364
285
285
612
612
1
1
2
9,186",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,64,22,86,6,6,124,124,86,
,,,,,,,64,22,86,,,,,86,
,,,,,,,,13,13,,,,,41,
,,,,,,,,,,,,,,21,
,,,,,,,1,10,11,4,4,,,66,
,,,,,,,1,13,14,11,11,,,87,
,,,,,,,,20,20,13,13,,,33,
,,,,,,,2,56,58,34,34,,,248,
,,,,,,,,11,11,6,6,,,53,
,,,,,,,,,,,,,,133,
,,,,,,,,7,7,15,15,,,302,
,,,,,,,,5,5,3,3,,,160,
,,,,,,,,8,8,24,24,,,182,
,,,,,,,,,,,,,,8,
,,,,,,,1,5,6,2,2,,,29,
,,,,,,,,5,5,7,7,,,212,
,,,,,,,,3,3,4,4,,,27,
,,,,,,,,8,8,22,22,,,240,
,,,,,,,,,,,,,,11,
,,,,,,,,19,19,20,20,,,349,
,,,,,,,,5,5,18,18,,,119,
,,,,,,,1,76,77,121,121,,,"1,825",
,,,,,,,1,9,10,36,36,,,273,
,,,,,,,,50,50,31,31,,,129,
,,,,,,,,,,,,,,4,
,,,,,,,2,24,26,13,13,,,100,
,,,,,,,,12,12,28,28,,,64,
,,,,,,,12,27,39,16,16,,,55,
,,,,,,,15,122,137,124,124,,,625,
,,,,,,,1,5,6,,,,,415,
,,,,,,,,7,7,12,12,,,19,
,,,,,,,,3,3,,,,,3,
,,,,,,,,1,1,,,,,1,
,,,,,,,,12,12,10,10,,,22,
,,,,,,,,9,9,5,5,,,14,
,,,,,,,1,37,38,27,27,124,124,474,
,,,,,,,,,,,,,,612,
,,,,,,,,,,,,,,612,
,,,,,,,2,,2,,,,,2,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,2,,2,,,,,4,
,,,,,,,98,"1,529","1,627",915,915,124,124,"11,852",
"Prepared by OISP, 08 Sep 09",,,,,,,,,,,,,,,
