Top 10,,,,,,,,,
Summer 2009 Feeder Patterns First Time In College,,,,,,,,,
Texas County   Students  % Total,,,,,,,,,
Harris,,,55,,14.2%,,,,
Bexar,,,31,,8.0%,,,,
Dallas,,,24,,6.2%,,,,
Fort Bend,,,19,,4.9%,,,,
Brazos,,,17,,4.4%,,,,
Hidalgo,,,12,,3.1%,,,,
Williamson,,,12,,3.1%,,,,
Collin,,,10,,2.6%,,,,
Tarrant,,,10,,2.6%,,,,
Bell,,,7,,1.8%,,,,
State,Students  % Total,,,,,,,,
Texas,356,,,92.0%,,,,,
Louisiana,4,,,1.0%,,,,,
Missouri,3,,,0.8%,,,,,
Maryland,2,,,0.5%,,,,,
New Jersey,1,,,0.3%,,,,,
Nevada,1,,,0.3%,,,,,
Mississippi,1,,,0.3%,,,,,
Massachusetts,1,,,0.3%,,,,,
Kentucky,1,,,0.3%,,,,,
Kansas,1,,,0.3%,,,,,
Country,,Students  % Total,,,,,,,
United States,,382,,,,98.7%,,,
Canada,,2,,,,0.5%,,,
Mexico,,1,,,,0.3%,,,
Kazakhstan,,1,,,,0.3%,,,
Brazil,,1,,,,0.3%,,,
