Top 10,,,,,,,,
Summer 2009 Feeder Patterns New Graduate,,,,,,,,
Texas County   Students  % Total,,,,,,,,
Harris,,70,,,16.4%,,,
Brazos,,50,,,11.7%,,,
Tarrant,,18,,,4.2%,,,
Bexar,,14,,,3.3%,,,
Dallas,,14,,,3.3%,,,
Fort Bend,,13,,,3.0%,,,
Travis,,12,,,2.8%,,,
Montgomery,,11,,,2.6%,,,
Collin,,9,,,2.1%,,,
Galveston,,9,,,2.1%,,,
State,Students  % Total,,,,,,,
Texas,337,,,78.9%,,,,
North Carolina,4,,,0.9%,,,,
Utah,4,,,0.9%,,,,
California,3,,,0.7%,,,,
Louisiana,3,,,0.7%,,,,
Florida,3,,,0.7%,,,,
Oklahoma,2,,,0.5%,,,,
Pennsylvania,2,,,0.5%,,,,
Wisconsin,2,,,0.5%,,,,
Minnesota,1,,,0.2%,,,,
Country,,,Students  % Total,,,,,
United States,,,374,,,87.6%,,
"China, People's Rep of",,,13,,,3.0%,,
India,,,10,,,2.3%,,
"Korea, Republic of",,,8,,,1.9%,,
Iran,,,4,,,0.9%,,
Mexico,,,3,,,0.7%,,
Taiwan,,,2,,,0.5%,,
Venezuela,,,2,,,0.5%,,
Mongolia,,,1,,,0.2%,,
Jordan,,,1,,,0.2%,,
