"Summer 2009
G. Bush School       BUSH of Govt                    Subtotal
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies       GEST
Subtotal Other - Special        CLMD Populations             MARA
MARB SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
1
2
3
2
2
59
59
93","Sophomore
2
4
3
4
13
2
2
27
27
70","Junior
1
1
3
5
1
3
7
6
5
30
8
1
1
2
12
1
1
10
10
163","Senior
1
1
8
2
7
2
1
8
8
9
47
4
4
1
9
4
4
162",PB,"Total
1
1
1
4
15
3
8
5
1
19
17
18
91
12
6
2
2
2
24
9
9
96
96
488",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,2,2,2,1,1,,,2,
,,,,,,,2,,2,,,,,2,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,4,
,,,,,,,,,2,,,,,18,
,,,,,,,,,,,,,,3,
,,,,,,,,1,1,1,1,,,10,
,,,,,,,,2,2,,,,,7,
,,,,,,,,,,,,,,1,
,,,,,,,,4,4,4,4,,,27,
,,,,,,,,1,1,5,5,,,23,
,,,,,,,,3,3,11,11,,,32,
,,,,,,,,13,13,22,22,,,126,
,,,,,,,,,,1,1,,,13,
,,,,,,,,1,1,3,3,,,10,
,,,,,,,,,,,,,,2,
,,,,,,,,,,1,1,,,3,
,,,,,,,,1,1,1,1,,,4,
,,,,,,,2,1,3,,,,,3,
,,,,,,,2,3,5,6,6,,,35,
,,,,,,,,,,,,,,9,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,2,2,,,2,
,,,,,,,1,,1,1,1,,,2,
,,,,,,,1,,1,4,4,,,14,
,,,,,,,,,,,,,,96,
,,,,,,,,,,,,,,96,
,,,,,,,5,77,82,147,147,,,717,
"Prepared by OISP, 08 Sep 09",,,,,,,,,,,,,,,
