Summer 2009,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Education          BIED
CPSY EDAD EDCI EDHL EDIS EDKI EDSM EDTC EHRD EPSY HEED HLTH HRDL HRDV INST ISNC KINE NUTR PHED SPED SPMT SPSY TCMG TCML TECR USEH",,"185
136
152
94
137
66
109
349
15
140
151
18
17
3
1","18.6%
-13.4%
-21.2%
-20.3%
23.4%
20.0%
91.2%
-21.4%
-87.2%
-20.5%
-6.8%
5.9%
0.0%
-25.0%
100.0%","2
47
213
10
49
67
9
33
2
2
2","100.0%
4.4%
-12.7%
-47.4%
16.7%
-14.1%
0.0%
-40.0%
100.0%
-60.0%
100.0%","28
142
129
54
49
13
39
1
0
42","0.0%
-10.1%
-5.1%
-11.5%
0.0%
-13.3%
39.3%
100.0%
-100.0%
5.0%",,,"2
28
189
342
185
136
152
94
10
103
116
22
137
66
109
349
15
212
3
2
2
151
42
18
17
3
1","100.0%
0.0%
-6.9%
-10.0%
18.6%
-13.4%
-21.2%
-20.3%
-47.4%
0.0%
-8.7%
-8.3%
23.4%
20.0%
91.2%
-21.4%
-87.2%
-18.1%
100.0%
-66.7%
100.0%
-6.8%
5.0%
5.9%
0.0%
-25.0%
100.0%",
,Subtotal,"1,573",-11.8%,436,-12.3%,497,-3.7%,,,"2,506",-10.4%,
"Prepared by OISP, 08 Sep 09",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
