"Summer 2009
G. Bush School       BUSH of Govt                    Subtotal
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies       GEST
Subtotal Other - Special        CLMD Populations             MARA
MARB SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
8
8
25","Sophomore
4
4
2
1
2
5
6
6
41","Junior
2
2
1
4
1
1
7
2
1
1
4
63","Senior
1
3
4
1
2
3
3
1
1
5
1
1
115","PB
1
1
2","Total
1
10
11
4
6
2
2
1
15
5
2
1
2
10
1
1
14
14
246",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,5,6,17,17,,,6,
,,,,,,,1,5,6,,,,,6,
,,,,,,,,6,6,,,,,24,
,,,,,,,,1,1,8,8,,,9,
,,,,,,,,11,11,14,14,,,35,
,,,,,,,,7,7,13,13,,,20,
,,,,,,,,25,25,52,52,,,88,
,,,,,,,,,,2,2,,,2,
,,,,,,,,,,,,,,4,
,,,,,,,,2,2,4,4,,,6,
,,,,,,,,11,11,24,24,,,41,
,,,,,,,,,,8,8,,,10,
,,,,,,,,,,1,1,,,1,
,,,,,,,,1,1,,,,,1,
,,,,,,,1,3,4,6,6,,,10,
,,,,,,,,1,1,3,3,,,6,
,,,,,,,,,,3,3,,,4,
,,,,,,,1,18,19,51,51,,,85,
,,,,,,,,10,10,20,20,,,35,
,,,,,,,,57,57,53,53,,,112,
,,,,,,,1,11,12,42,42,,,55,
,,,,,,,,18,18,40,40,,,60,
,,,,,,,,15,15,31,31,,,46,
,,,,,,,1,111,112,186,186,,,308,
,,,,,,,,2,2,2,2,,,5,
,,,,,,,,8,8,9,9,,,17,
,,,,,,,,4,4,2,2,,,6,
,,,,,,,,3,3,6,6,,,9,
,,,,,,,,1,1,8,8,,,9,
,,,,,,,,18,18,27,27,,,46,
,,,,,,,,,,,,,,14,
,,,,,,,,,,,,,,14,
,,,,,,,1,,1,,,,,1,
,,,,,,,1,,1,,,,,1,
,,,,,,,4,"1,018","1,022","1,090","1,090",,,"2,358",
"Prepared by OISP, 08 Sep 09",,,,,,,,,,,,,,,
