"Summer 2009
Agriculture              AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture   ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
2
3
2
1
1
9
3
3
2
2
1
1
1
2
2
2
1
5
1
14","Sophomore
1
4
1
3
2
3
2
1
2
19
4
4
1
9
5
1
6
3
10
13
2
1
3
4
10
7
3
6
7
4
5
52","Junior
10
16
7
3
5
4
3
4
4
11
8
6
3
1
7
92
5
1
7
3
16
10
14
12
7
8
9
60
6
6
32
5
49
12
7
9
6
23
10
20
14
8
4
6
119","Senior
17
29
15
4
3
8
6
2
1
32
15
1
4
1
6
144
8
6
16
1
31
26
21
8
10
13
78
23
12
61
24
120
8
2
6
12
39
16
26
23
22
4
2
160","PB
1
2
3","Total
28
51
23
10
13
12
11
6
5
47
26
8
7
2
15
264
20
7
27
5
59
36
21
34
15
18
22
146
29
21
103
30
183
22
11
20
24
73
37
50
43
42
12
14
348",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,2,3,1,1,,,32,
,,,,,,,,5,5,3,3,,,59,
,,,,,,,,7,7,1,1,,,31,
,,,,,,,,2,2,,,,,12,
,,,,,,,,3,3,2,2,,,18,
,,,,,,,,2,2,,,,,14,
,,,,,,,,5,5,1,1,,,17,
,,,,,,,,5,5,5,5,,,16,
,,,,,,,,1,1,,,,,6,
,,,,,,,,3,3,,,,,50,
,,,,,,,,2,2,2,2,,,30,
,,,,,,,,2,2,1,1,,,11,
,,,,,,,,,,1,1,,,8,
,,,,,,,,5,5,6,6,,,13,
,,,,,,,,6,6,8,8,,,29,
,,,,,,,1,50,51,31,31,,,346,
,,,,,,,,4,4,,,,,24,
,,,,,,,,,,,,,,7,
,,,,,,,,,,,,,,27,
,,,,,,,,2,2,,,,,7,
,,,,,,,,6,6,,,,,6,
,,,,,,,,12,12,,,,,71,
,,,,,,,,8,8,,,,,44,
,,,,,,,,4,4,,,,,25,
,,,,,,,,9,9,,,,,43,
,,,,,,,,4,4,,,,,19,
,,,,,,,,1,1,,,,,19,
,,,,,,,,3,3,,,,,25,
,,,,,,,,29,29,,,,,175,
,,,,,,,,15,15,41,41,,,85,
,,,,,,,,18,18,18,18,,,57,
,,,,,,,,6,6,1,1,,,110,
,,,,,,,,22,22,13,13,,,65,
,,,,,,,,61,61,73,73,,,317,
,,,,,,,,3,3,3,3,,,28,
,,,,,,,,3,3,1,1,,,15,
,,,,,,,,4,4,1,1,,,25,
,,,,,,,,1,1,3,3,,,28,
,,,,,,,,,,,,,,73,
,,,,,,,,2,2,1,1,,,40,
,,,,,,,,,,,,,,50,
,,,,,,,,5,5,3,3,,,51,
,,,,,,,,8,8,4,4,,,54,
,,,,,,,,1,1,2,2,,,15,
,,,,,,,,3,3,1,1,,,18,
,,,,,,,,30,30,19,19,,,397,
"Prepared by OISP, 08 Sep 09",,,,,,,,,,,,,,,
