Top 10,,,,,,,,,
Summer 2009 Feeder Patterns Undergraduate Transfer,,,,,,,,,
Texas County   Students  % Total,,,,,,,,,
Brazos,,39,,,27.5%,,,,
Harris,,22,,,15.5%,,,,
Fort Bend,,11,,,7.7%,,,,
Bexar,,6,,,4.2%,,,,
Dallas,,4,,,2.8%,,,,
Tarrant,,4,,,2.8%,,,,
Robertson,,3,,,2.1%,,,,
Victoria,,3,,,2.1%,,,,
Williamson,,3,,,2.1%,,,,
Brazoria,,2,,,1.4%,,,,
State,Students  % Total,,,,,,,,
Texas,132,,,93.0%,,,,,
Washington,2,,,1.4%,,,,,
California,2,,,1.4%,,,,,
Alaska,1,,,0.7%,,,,,
Country,,,Students  % Total,,,,,,
United States,,,137,,,,96.5%,,
Nigeria,,,1,,,,0.7%,,
Nepal,,,1,,,,0.7%,,
"Korea, Republic of",,,1,,,,0.7%,,
Hong Kong,,,1,,,,0.7%,,
Equatorial Guinea,,,1,,,,0.7%,,
