"Summer 2009
Agriculture              AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture   ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
2
1
1
1
2
1
1
1
1
7","Sophomore
1
1
1
1
1
5
2
2
6
6
2
1
3
1
5
1
2
1
1
11","Junior
1
1
2
1
1
3
5
2
1
17
2
3
2
7
10
6
7
4
2
5
34
3
1
7
3
14
2
3
8
4
10
8
7
8
7
2
4
63","Senior
3
1
4
6
2
1
1
2
5
3
1
2
1
32
3
2
2
7
18
10
5
3
3
39
1
8
1
12
5
27
2
7
3
3
6
10
4
2
8
1
3
49","PB
1
1
1
1","Total
1
5
3
6
8
3
1
1
3
8
9
3
3
3
57
7
2
5
3
17
28
12
17
9
5
8
79
1
11
2
21
9
44
6
12
18
8
17
21
11
11
15
4
8
131",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,,1,1,1,1,,,1,
,,,,,,,,,,,,,,6,
,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,7,
,,,,,,,,,,,,,,8,
,,,,,,,,1,1,,,,,4,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,3,
,,,,,,,,,,1,1,,,9,
,,,,,,,,,,,,,,9,
,,,,,,,,,,,,,,3,
,,,,,,,,1,1,,,,,4,
,,,,,,,,1,1,,,,,4,
,,,,,,,,4,4,2,2,,,63,
,,,,,,,,3,3,2,2,,,12,
,,,,,,,,,,,,,,2,
,,,,,,,,1,1,,,,,6,
,,,,,,,,,,1,1,,,4,
,,,,,,,,3,3,,,,,3,
,,,,,,,,7,7,3,3,,,27,
,,,,,,,,6,6,1,1,,,35,
,,,,,,,,4,4,,,,,16,
,,,,,,,,9,9,1,1,,,27,
,,,,,,,,,,,,,,9,
,,,,,,,,,,1,1,,,6,
,,,,,,,,,,,,,,8,
,,,,,,,,19,19,3,3,,,101,
,,,,,,,,,,,,,,1,
,,,,,,,,2,2,3,3,,,16,
,,,,,,,,2,2,5,5,,,9,
,,,,,,,,4,4,2,2,,,27,
,,,,,,,,2,2,2,2,,,13,
,,,,,,,,10,10,12,12,,,66,
,,,,,,,,2,2,,,,,8,
,,,,,,,,3,3,1,1,,,16,
,,,,,,,,1,1,,,,,19,
,,,,,,,,3,3,2,2,,,13,
,,,,,,,,2,2,2,2,,,21,
,,,,,,,,,,3,3,,,24,
,,,,,,,,,,,,,,11,
,,,,,,,,1,1,,,,,12,
,,,,,,,,4,4,2,2,,,21,
,,,,,,,,3,3,,,,,7,
,,,,,,,,10,10,,,,,18,
,,,,,,,,29,29,10,10,,,170,
"Prepared by OISP, 08 Sep 09",,,,,,,,,,,,,,,
